dataset: C
instance: MA
+-----------+
2D Packing Heuristic in Truck P108137105
Min2DVol: 20.169030000000003 [m2]
Stack 0 with items: ['0090016200_27022023024686', '0090016200_27022023000895']
Stack 1 with items: ['0090016200_27022023013567', '0090016200_27022023013567', '0090016200_27022023013567']
Stack 2 with items: ['0090016200_27022023039196', '0090016200_27022023027717', '0090016200_27022023006084']
Stack 3 with items: ['0090016200_27022023021050', '0090016200_27022023021050', '0090016200_27022023021050']
Stack 4 with items: ['0090016200_27022023036625', '0090016200_27022023036625', '0090016200_27022023036625']
Stack 5 with items: ['0090016200_27022023006084', '0090016200_27022023006084', '0090016200_27022023006084']
Stack 6 with items: ['0090016200_27022023021050', '0090016200_27022023006084', '0090016200_27022023001143']
Stack 7 with items: ['0090016200_27022023006084', '0090016200_27022023032259', '0090016200_27022023032802']
Stack 8 with items: ['0090016200_27022023013567', '0090016200_27022023013567', '0090016200_27022023013567']
Stack 9 with items: ['0090016200_27022023001143', '0090016200_27022023001143', '0090016200_27022023001143']
Stack 10 with items: ['0090016200_27022023038614', '0090016200_27022023036625', '0090016200_27022023038614']
Stack 11 with items: ['0090016200_27022023036757', '0090016200_27022023032287', '0090016200_27022023036757']
Stack 12 with items: ['0090016200_27022023036757', '0090016200_27022023032287', '0090016200_27022023036757']
Stack 13 with items: ['0090016200_27022023032287', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 14 with items: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 15 with items: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 16 with items: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 17 with items: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 18 with items: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 19 with items: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 20 with items: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 21 with items: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 22 with items: ['0090016200_27022023028226', '0090016200_27022023023360', '0090016200_27022023028226']
Stack 23 with items: ['0090016200_27022023023360', '0090016200_27022023023360', '0090016200_27022023023360']
Stack 24 with items: ['0090016200_27022023023360', '0090016200_27022023023360', '0090016200_27022023023360']
Stack 25 with items: ['0090016200_27022023023360', '0090016200_27022023023360', '0090016200_27022023023360']
Stack 26 with items: ['0090016200_27022023023360', '0090016200_27022023023360', '0090016200_27022023023360']
Stack 27 with items: ['0090016200_27022023023360', '0090016200_27022023023360', '0090016200_27022023023360']
Stack 28 with items: ['0090016200_27022023023360', '0090016200_27022023010154', '0090016200_27022023023360']
Stack 29 with items: ['0090016200_27022023010154', '0090016200_27022023009442', '0090016200_27022023008425']
Stack 30 with items: ['0090016200_27022023008425', '0090016200_27022023008425']
Stack 31 with items: ['0090016200_27022023008425', '0090016200_27022023008425']
Stack 32 with items: ['0090016200_27022023017615', '0090016200_27022023017615', '0090016200_27022023035918']
Stacks not packed:
Stack 11 missing: ['0090016200_27022023036757', '0090016200_27022023032287', '0090016200_27022023036757']
Stack 12 missing: ['0090016200_27022023036757', '0090016200_27022023032287', '0090016200_27022023036757']
Stack 17 missing: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 18 missing: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 19 missing: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 20 missing: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 21 missing: ['0090016200_27022023028226', '0090016200_27022023028226', '0090016200_27022023028226']
Stack 29 missing: ['0090016200_27022023010154', '0090016200_27022023009442', '0090016200_27022023008425']
