dataset: A
instance: TR2
+-----------+
2D Packing Heuristic in Truck P241278201
Min2DVol: 21.599999999999994 [m2]
Stack 0 with items: ['0090017000_03072022009352', '0090017000_03072022009352', '0090017000_03072022009352']
Stack 1 with items: ['0090017000_03072022009352', '0090017000_03072022009352', '0090017000_03072022009352']
Stack 2 with items: ['0090017000_03072022008164', '0090017000_03072022008164', '0090017000_03072022008164']
Stack 3 with items: ['0090017000_03072022008164', '0090017000_03072022008164', '0090017000_03072022008164']
Stack 4 with items: ['0090017000_03072022008164', '0090017000_03072022008164', '0090017000_03072022008164']
Stack 5 with items: ['0090017000_03072022008164', '0090017000_03072022005234', '0090017000_03072022005234']
Stack 6 with items: ['0090017000_03072022005234', '0090017000_03072022002997', '0090017000_03072022002997']
Stack 7 with items: ['0090017000_03072022002997', '0090017000_03072022002997', '0090017000_03072022002997']
Stack 8 with items: ['0090017000_03072022002997', '0090017000_03072022002997', '0090017000_03072022002997']
Stack 9 with items: ['0090017000_03072022002997', '0090017000_03072022002997', '0090017000_03072022002997']
Stack 10 with items: ['0090017000_03072022002997', '0090017000_03072022002997', '0090017000_03072022002997']
Stack 11 with items: ['0090017000_03072022002851', '0090017000_03072022002851', '0090017000_03072022002851']
Stack 12 with items: ['0090017000_03072022002851', '0090017000_03072022002851', '0090017000_03072022002851']
Stack 13 with items: ['0090017000_03072022002851', '0090017000_03072022002851', '0090017000_03072022002851']
Stack 14 with items: ['0090017000_03072022002851', '0090017000_03072022002851', '0090017000_03072022002851']
Stack 15 with items: ['0090017000_03072022002851', '0090017000_03072022002851', '0090017000_03072022002851']
Stack 16 with items: ['0090017000_03072022002851', '0090017000_03072022002851', '0090017000_03072022002851']
Stack 17 with items: ['0090017000_03072022001947', '0090017000_03072022001947', '0090017000_03072022001947']
Heuristic packed all stacks
