dataset: X
instance: SA3
+-----------+
2D Packing Heuristic in Truck P166050617
Min2DVol: 30.072239999999987 [m2]
Stack 0 with items: ['0090017100_08062023016000', '0090017100_08062023015065', '0090017100_08062023009426', '0090017100_08062023025120']
Stack 1 with items: ['0090017100_08062023011007']
Stack 2 with items: ['0090017100_08062023012111', '0090017100_08062023021154']
Stack 3 with items: ['0090017100_08062023001358', '0090017100_08062023023860']
Stack 4 with items: ['0090017100_08062023029331', '0090017100_08062023029331', '0090017100_08062023029331']
Stack 5 with items: ['0090017100_08062023029331', '0090017100_08062023029331', '0090017100_08062023029331']
Stack 6 with items: ['0090017100_08062023029131', '0090017100_08062023027988', '0090017100_08062023029131']
Stack 7 with items: ['0090017100_08062023027988', '0090017100_08062023026579', '0090017100_08062023027988']
Stack 8 with items: ['0090017100_08062023026579', '0090017100_08062023024921', '0090017100_08062023026579']
Stack 9 with items: ['0090017100_08062023025777', '0090017100_08062023025777', '0090017100_08062023025777']
Stack 10 with items: ['0090017100_08062023025777', '0090017100_08062023021164', '0090017100_08062023021164']
Stack 11 with items: ['0090017100_08062023024921', '0090017100_08062023024921', '0090017100_08062023024921']
Stack 12 with items: ['0090017100_08062023024921', '0090017100_08062023024565', '0090017100_08062023024921']
Stack 13 with items: ['0090017100_08062023024565', '0090017100_08062023023193', '0090017100_08062023024565']
Stack 14 with items: ['0090017100_08062023023140', '0090017100_08062023023140', '0090017100_08062023023140']
Stack 15 with items: ['0090017100_08062023022362', '0090017100_08062023022362', '0090017100_08062023022362']
Stack 16 with items: ['0090017100_08062023022362', '0090017100_08062023019412', '0090017100_08062023022362']
Stack 17 with items: ['0090017100_08062023021164', '0090017100_08062023021164', '0090017100_08062023021164']
Stack 18 with items: ['0090017100_08062023021164', '0090017100_08062023021164', '0090017100_08062023021164']
Stack 19 with items: ['0090017100_08062023021164', '0090017100_08062023011378', '0090017100_08062023011378']
Stack 20 with items: ['0090017100_08062023019412', '0090017100_08062023019412', '0090017100_08062023019412']
Stack 21 with items: ['0090017100_08062023014486', '0090017100_08062023014486', '0090017100_08062023014486']
Stack 22 with items: ['0090017100_08062023014486', '0090017100_08062023008721', '0090017100_08062023008721']
Stack 23 with items: ['0090017100_08062023008721', '0090017100_08062023005250', '0090017100_08062023005250']
Stack 24 with items: ['0090017100_08062023005064', '0090017100_08062023001423', '0090017100_08062023001423']
Heuristic packed all stacks
