dataset: C
instance: MA2
+-----------+
2D Packing Heuristic in Truck P073033105
Min2DVol: 31.494179999999993 [m2]
Stack 0 with items: ['0090016200_28022023004528', '0090016200_28022023004528']
Stack 1 with items: ['0090016200_28022023030436']
Stack 2 with items: ['0090016200_28022023004528', '0090016200_28022023004528']
Stack 3 with items: ['0090016200_28022023018182', '0090016200_28022023018182', '0090016200_28022023018182']
Stack 4 with items: ['0090016200_28022023018182', '0090016200_28022023006852', '0090016200_28022023018182']
Stack 5 with items: ['0090016200_28022023026757', '0090016200_28022023018182', '0090016200_28022023018182']
Stack 6 with items: ['0090016200_28022023006852', '0090016200_28022023006223', '0090016200_28022023006223']
Stack 7 with items: ['0090016200_28022023018182', '0090016200_28022023022104', '0090016200_28022023022104']
Stack 8 with items: ['0090016200_28022023006223', '0090016200_28022023006223', '0090016200_28022023006852']
Stack 9 with items: ['0090016200_28022023018182', '0090016200_28022023006852', '0090016200_28022023018182']
Stack 10 with items: ['0090016200_28022023031929', '0090016200_28022023031929', '0090016200_28022023031929']
Stack 11 with items: ['0090016200_28022023031929', '0090016200_28022023031929', '0090016200_28022023031929']
Stack 12 with items: ['0090016200_28022023031929', '0090016200_28022023031929', '0090016200_28022023031929']
Stack 13 with items: ['0090016200_28022023031929', '0090016200_28022023031929', '0090016200_28022023031929']
Stack 14 with items: ['0090016200_28022023031929', '0090016200_28022023031929', '0090016200_28022023031929']
Stack 15 with items: ['0090016200_28022023031929', '0090016200_28022023018032', '0090016200_28022023018032']
Stack 16 with items: ['0090016200_28022023018032', '0090016200_28022023018032', '0090016200_28022023018032']
Stack 17 with items: ['0090016200_28022023018032', '0090016200_28022023018032', '0090016200_28022023018032']
Stack 18 with items: ['0090016200_28022023018032', '0090016200_28022023018032', '0090016200_28022023018032']
Stack 19 with items: ['0090016200_28022023018032', '0090016200_28022023016681', '0090016200_28022023016681']
Stack 20 with items: ['0090016200_28022023016681', '0090016200_28022023016681', '0090016200_28022023016681']
Stack 21 with items: ['0090016200_28022023016681', '0090016200_28022023013173', '0090016200_28022023013173']
Heuristic packed all stacks
