dataset: X
instance: MA3
+-----------+
2D Packing Heuristic in Truck P199137301
Min2DVol: 31.920000000000005 [m2]
Stack 0 with items: ['0090016200_08062023030407', '0090016200_08062023030407', '0090016200_08062023030407', '0090016200_08062023030407']
Stack 1 with items: ['0090016200_08062023030407', '0090016200_08062023030407', '0090016200_08062023030407', '0090016200_08062023030407']
Stack 2 with items: ['0090016200_08062023030407', '0090016200_08062023030407', '0090016200_08062023030407', '0090016200_08062023030407']
Stack 3 with items: ['0090016200_08062023030407', '0090016200_08062023030407', '0090016200_08062023030407', '0090016200_08062023030407']
Stack 4 with items: ['0090016200_08062023030407', '0090016200_08062023030407', '0090016200_08062023030407', '0090016200_08062023030407']
Stack 5 with items: ['0090016200_08062023030407', '0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023030407']
Stack 6 with items: ['0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278']
Stack 7 with items: ['0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278']
Stack 8 with items: ['0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278']
Stack 9 with items: ['0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278']
Stack 10 with items: ['0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278']
Stack 11 with items: ['0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278']
Stack 12 with items: ['0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278', '0090016200_08062023022278']
Stack 13 with items: ['0090016200_08062023022278', '0090016200_08062023000556', '0090016200_08062023000556', '0090016200_08062023022278']
Heuristic packed all stacks
