dataset: X
instance: MA3
+-----------+
2D Packing Heuristic in Truck P193222503
Min2DVol: 30.09029999999999 [m2]
Stack 0 with items: ['0090016200_08062023012782', '0090016200_08062023008998', '0090016200_08062023008236', '0090016200_08062023017084']
Stack 1 with items: ['0090016200_08062023003516', '0090016200_08062023010052', '0090016200_08062023010052', '0090016200_08062023010052', '0090016200_08062023013944']
Stack 2 with items: ['0090016200_08062023018929', '0090016200_08062023018929']
Stack 3 with items: ['0090016200_08062023027389']
Stack 4 with items: ['0090016200_08062023018721', '0090016200_08062023016834', '0090016200_08062023004764']
Stack 5 with items: ['0090016200_08062023021159', '0090016200_08062023021159', '0090016200_08062023021159']
Stack 6 with items: ['0090016200_08062023021159', '0090016200_08062023021159', '0090016200_08062023021159']
Stack 7 with items: ['0090016200_08062023021159', '0090016200_08062023021159', '0090016200_08062023021159']
Stack 8 with items: ['0090016200_08062023021159', '0090016200_08062023021159', '0090016200_08062023021159']
Stack 9 with items: ['0090016200_08062023021159', '0090016200_08062023021159', '0090016200_08062023021159']
Stack 10 with items: ['0090016200_08062023021159', '0090016200_08062023021159', '0090016200_08062023021159']
Stack 11 with items: ['0090016200_08062023021159', '0090016200_08062023016499', '0090016200_08062023016499']
Stack 12 with items: ['0090016200_08062023016499', '0090016200_08062023016499', '0090016200_08062023016499']
Stack 13 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 14 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 15 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 16 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 17 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 18 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 19 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 20 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 21 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 22 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 23 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Stack 24 with items: ['0090016200_08062023011516', '0090016200_08062023011516', '0090016200_08062023011516']
Heuristic packed all stacks
