dataset: B
instance: MA2
+-----------+
2D Packing Heuristic in Truck P333137107
Min2DVol: 31.458059999999993 [m2]
Stack 0 with items: ['0090016200_26102022001081', '0090016200_26102022000652', '0090016200_26102022001081']
Stack 1 with items: ['0090016200_26102022001081', '0090016200_26102022017966', '0090016200_26102022017966']
Stack 2 with items: ['0090016200_26102022001081', '0090016200_26102022001081', '0090016200_26102022017966']
Stack 3 with items: ['0090016200_26102022017966', '0090016200_26102022017966', '0090016200_26102022017966']
Stack 4 with items: ['0090016200_26102022010077', '0090016200_26102022001081', '0090016200_26102022010077']
Stack 5 with items: ['0090016200_26102022002563', '0090016200_26102022001081', '0090016200_26102022001081']
Stack 6 with items: ['0090016200_26102022007662', '0090016200_26102022007662', '0090016200_26102022007662']
Stack 7 with items: ['0090016200_26102022007662', '0090016200_26102022007662', '0090016200_26102022007662']
Stack 8 with items: ['0090016200_26102022012169', '0090016200_26102022009485', '0090016200_26102022008696']
Stack 9 with items: ['0090016200_26102022017334', '0090016200_26102022009485', '0090016200_26102022009485']
Stack 10 with items: ['0090016200_26102022017334', '0090016200_26102022017334', '0090016200_26102022017334']
Stack 11 with items: ['0090016200_26102022009485', '0090016200_26102022017334', '0090016200_26102022020978']
Stack 12 with items: ['0090016200_26102022019091', '0090016200_26102022008696', '0090016200_26102022008696']
Stack 13 with items: ['0090016200_26102022017334', '0090016200_26102022017334', '0090016200_26102022017334']
Stack 14 with items: ['0090016200_26102022020978', '0090016200_26102022019091', '0090016200_26102022019091']
Stack 15 with items: ['0090016200_26102022017334', '0090016200_26102022017334', '0090016200_26102022017334']
Stack 16 with items: ['0090016200_26102022008696', '0090016200_26102022012169', '0090016200_26102022019091']
Stack 17 with items: ['0090016200_26102022015177', '0090016200_26102022009485', '0090016200_26102022017334']
Stack 18 with items: ['0090016200_26102022008696', '0090016200_26102022008696', '0090016200_26102022008696']
Stack 19 with items: ['0090016200_26102022019091', '0090016200_26102022009485', '0090016200_26102022009485']
Stack 20 with items: ['0090016200_26102022019091', '0090016200_26102022019091', '0090016200_26102022019091']
Stack 21 with items: ['0090016200_26102022012169', '0090016200_26102022012169', '0090016200_26102022012169']
Stack 22 with items: ['0090016200_26102022017334', '0090016200_26102022017334', '0090016200_26102022017334']
Stack 23 with items: ['0090016200_26102022007710', '0090016200_26102022012169', '0090016200_26102022012169']
Stack 24 with items: ['0090016200_26102022009250', '0090016200_26102022012997']
Heuristic packed all stacks
