dataset: X
instance: SA3
+-----------+
2D Packing Heuristic in Truck P200056405
Min2DVol: 31.39567499999999 [m2]
Stack 0 with items: ['0090017100_08062023002728', '0090017100_08062023006109']
Stack 1 with items: ['0090017100_08062023013632', '0090017100_08062023013632']
Stack 2 with items: ['0090017100_08062023026768', '0090017100_08062023002728']
Stack 3 with items: ['0090017100_08062023003188', '0090017100_08062023026768']
Stack 4 with items: ['0090017100_08062023006109', '0090017100_08062023006109']
Stack 5 with items: ['0090017100_08062023022669', '0090017100_08062023026768']
Stack 6 with items: ['0090017100_08062023010358', '0090017100_08062023010358', '0090017100_08062023010358']
Stack 7 with items: ['0090017100_08062023015194', '0090017100_08062023015194', '0090017100_08062023015194']
Stack 8 with items: ['0090017100_08062023010358', '0090017100_08062023015194', '0090017100_08062023022963']
Stack 9 with items: ['0090017100_08062023015194', '0090017100_08062023015194', '0090017100_08062023015194']
Stack 10 with items: ['0090017100_08062023003985', '0090017100_08062023003985', '0090017100_08062023012194']
Stack 11 with items: ['0090017100_08062023022911', '0090017100_08062023022911', '0090017100_08062023022911']
Stack 12 with items: ['0090017100_08062023022911', '0090017100_08062023022911', '0090017100_08062023022911']
Stack 13 with items: ['0090017100_08062023022911', '0090017100_08062023022911', '0090017100_08062023022911']
Stack 14 with items: ['0090017100_08062023022911', '0090017100_08062023017374', '0090017100_08062023022911']
Stack 15 with items: ['0090017100_08062023017374', '0090017100_08062023017374', '0090017100_08062023017374']
Stack 16 with items: ['0090017100_08062023017374', '0090017100_08062023017374', '0090017100_08062023017374']
Stack 17 with items: ['0090017100_08062023017374', '0090017100_08062023017374', '0090017100_08062023017374']
Stack 18 with items: ['0090017100_08062023017374', '0090017100_08062023017374', '0090017100_08062023017374']
Stack 19 with items: ['0090017100_08062023017374', '0090017100_08062023017374', '0090017100_08062023017374']
Stack 20 with items: ['0090017100_08062023017374', '0090017100_08062023017374', '0090017100_08062023017374']
Stack 21 with items: ['0090017100_08062023017374', '0090017100_08062023017374', '0090017100_08062023017374']
Stack 22 with items: ['0090017100_08062023017374', '0090017100_08062023017374', '0090017100_08062023017374']
Stack 23 with items: ['0090017100_08062023017374', '0090017100_08062023017374', '0090017100_08062023017374']
Stack 24 with items: ['0090017100_08062023017374', '0090017100_08062023017374', '0090017100_08062023017374']
Stack 25 with items: ['0090017100_08062023004521', '0090017100_08062023004521', '0090017100_08062023004521']
Heuristic packed all stacks
