dataset: X
instance: RM5
+-----------+
2D Packing Heuristic in Truck P191395307
Min2DVol: 30.000000000000014 [m2]
Stack 0 with items: ['0090038200_14062023023922', '0090038200_14062023023532', '0090038200_14062023023532']
Stack 1 with items: ['0090038200_14062023023532', '0090038200_14062023022424', '0090038200_14062023023532']
Stack 2 with items: ['0090038200_14062023022424', '0090038200_14062023018627', '0090038200_14062023018627']
Stack 3 with items: ['0090038200_14062023018627', '0090038200_14062023017550', '0090038200_14062023018627']
Stack 4 with items: ['0090038200_14062023017550', '0090038200_14062023017550', '0090038200_14062023017550']
Stack 5 with items: ['0090038200_14062023017550', '0090038200_14062023017406', '0090038200_14062023017406']
Stack 6 with items: ['0090038200_14062023016205', '0090038200_14062023013733', '0090038200_14062023016205']
Stack 7 with items: ['0090038200_14062023013521', '0090038200_14062023013521', '0090038200_14062023013521']
Stack 8 with items: ['0090038200_14062023011985', '0090038200_14062023011934', '0090038200_14062023011873']
Stack 9 with items: ['0090038200_14062023011873', '0090038200_14062023011495', '0090038200_14062023011873']
Stack 10 with items: ['0090038200_14062023011495', '0090038200_14062023011495', '0090038200_14062023011495']
Stack 11 with items: ['0090038200_14062023010234', '0090038200_14062023009797', '0090038200_14062023010234']
Stack 12 with items: ['0090038200_14062023006953', '0090038200_14062023006953', '0090038200_14062023006953']
Stack 13 with items: ['0090038200_14062023006953', '0090038200_14062023006953', '0090038200_14062023006953']
Stack 14 with items: ['0090038200_14062023005394', '0090038200_14062023005394', '0090038200_14062023005394']
Stack 15 with items: ['0090038200_14062023005394', '0090038200_14062023005394', '0090038200_14062023005394']
Stack 16 with items: ['0090038200_14062023005394', '0090038200_14062023005031', '0090038200_14062023005394']
Stack 17 with items: ['0090038200_14062023004497', '0090038200_14062023004497', '0090038200_14062023004497']
Stack 18 with items: ['0090038200_14062023004497', '0090038200_14062023004038', '0090038200_14062023004497']
Stack 19 with items: ['0090038200_14062023004038', '0090038200_14062023003328', '0090038200_14062023003328']
Stack 20 with items: ['0090038200_14062023003328', '0090038200_14062023003328', '0090038200_14062023003328']
Stack 21 with items: ['0090038200_14062023001514', '0090038200_14062023001322', '0090038200_14062023001322']
Stack 22 with items: ['0090038200_14062023001322', '0090038200_14062023000284', '0090038200_14062023001322']
Stack 23 with items: ['0090038200_14062023000284', '0090038200_14062023000284', '0090038200_14062023000284']
Stack 24 with items: ['0090038200_14062023000284', '0090038200_14062023000284', '0090038200_14062023000284']
Stack 25 with items: ['0090038200_14062023000284', '0090038200_14062023000284', '0090038200_14062023000284']
Stack 26 with items: ['0090038200_14062023000284', '0090038200_14062023000284', '0090038200_14062023000284']
Stack 27 with items: ['0090038200_14062023025010', '0090038200_14062023024611', '0090038200_14062023021066']
Stack 28 with items: ['0090038200_14062023020881', '0090038200_14062023020881', '0090038200_14062023020881']
Stack 29 with items: ['0090038200_14062023020881', '0090038200_14062023020881', '0090038200_14062023020881']
Stack 30 with items: ['0090038200_14062023020881', '0090038200_14062023020881', '0090038200_14062023020881']
Stack 31 with items: ['0090038200_14062023020881', '0090038200_14062023020881', '0090038200_14062023020881']
Stack 32 with items: ['0090038200_14062023020881', '0090038200_14062023020881', '0090038200_14062023020881']
Stack 33 with items: ['0090038200_14062023020881', '0090038200_14062023020844', '0090038200_14062023020881']
Stack 34 with items: ['0090038200_14062023020844', '0090038200_14062023017461', '0090038200_14062023020844']
Stack 35 with items: ['0090038200_14062023017461', '0090038200_14062023017461', '0090038200_14062023017461']
Stack 36 with items: ['0090038200_14062023017461', '0090038200_14062023015789', '0090038200_14062023017461']
Stack 37 with items: ['0090038200_14062023015503', '0090038200_14062023015113', '0090038200_14062023015113']
Stack 38 with items: ['0090038200_14062023014978', '0090038200_14062023014654', '0090038200_14062023014978']
Stack 39 with items: ['0090038200_14062023014654', '0090038200_14062023014562', '0090038200_14062023014654']
Stack 40 with items: ['0090038200_14062023013805', '0090038200_14062023013805', '0090038200_14062023013805']
Stack 41 with items: ['0090038200_14062023013805', '0090038200_14062023013805', '0090038200_14062023013805']
Stack 42 with items: ['0090038200_14062023013805', '0090038200_14062023013805', '0090038200_14062023013805']
Stack 43 with items: ['0090038200_14062023013805', '0090038200_14062023013805', '0090038200_14062023013805']
Stack 44 with items: ['0090038200_14062023013805', '0090038200_14062023013646', '0090038200_14062023013805']
Stack 45 with items: ['0090038200_14062023012474', '0090038200_14062023011997', '0090038200_14062023011997']
Stack 46 with items: ['0090038200_14062023011997', '0090038200_14062023011997', '0090038200_14062023011997']
Stack 47 with items: ['0090038200_14062023011997', '0090038200_14062023011997', '0090038200_14062023011997']
Stack 48 with items: ['0090038200_14062023011997', '0090038200_14062023011997', '0090038200_14062023011997']
Stack 49 with items: ['0090038200_14062023011997', '0090038200_14062023011997', '0090038200_14062023011997']
Stack 50 with items: ['0090038200_14062023011997', '0090038200_14062023011997', '0090038200_14062023011997']
Stack 51 with items: ['0090038200_14062023011997', '0090038200_14062023011997', '0090038200_14062023011997']
Stack 52 with items: ['0090038200_14062023011997', '0090038200_14062023010753', '0090038200_14062023010753']
Stack 53 with items: ['0090038200_14062023010753', '0090038200_14062023010294', '0090038200_14062023010753']
