dataset: C
instance: BY
+-----------+
2D Packing Heuristic in Truck P088062001
Min2DVol: 21.12000000000001 [m2]
Stack 0 with items: ['0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 1 with items: ['0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 2 with items: ['0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 3 with items: ['0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 4 with items: ['0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 5 with items: ['0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 6 with items: ['0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 7 with items: ['0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 8 with items: ['0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 9 with items: ['0090016900_27022023040540', '0090016900_27022023032623', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 10 with items: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 11 with items: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 12 with items: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 13 with items: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 14 with items: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 15 with items: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 16 with items: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 17 with items: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 18 with items: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 19 with items: ['0090016900_27022023032623', '0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023032623']
Stack 20 with items: ['0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955']
Stack 21 with items: ['0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955']
Stack 22 with items: ['0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955']
Stack 23 with items: ['0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955']
Stack 24 with items: ['0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955']
Stack 25 with items: ['0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955']
Stack 26 with items: ['0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955']
Stack 27 with items: ['0090016900_27022023014955', '0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804']
Stack 28 with items: ['0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804']
Stack 29 with items: ['0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804']
