dataset: X
instance: AS7
+-----------+
2D Packing Heuristic in Truck P208752701
Min2DVol: 43.93402500000001 [m2]
Stack 0 with items: ['0090018000_14062023000907', '0090018000_14062023000907']
Stack 1 with items: ['0090018000_14062023014327', '0090018000_14062023013901', '0090018000_14062023014327']
Stack 2 with items: ['0090018000_14062023013901', '0090018000_14062023013901', '0090018000_14062023013901']
Stack 3 with items: ['0090018000_14062023013901', '0090018000_14062023013269', '0090018000_14062023013269']
Stack 4 with items: ['0090018000_14062023013269', '0090018000_14062023013269', '0090018000_14062023013269']
Stack 5 with items: ['0090018000_14062023012766', '0090018000_14062023011143', '0090018000_14062023011143']
Stack 6 with items: ['0090018000_14062023011143', '0090018000_14062023011143', '0090018000_14062023011143']
Stack 7 with items: ['0090018000_14062023010942', '0090018000_14062023010563', '0090018000_14062023010563']
Stack 8 with items: ['0090018000_14062023010563', '0090018000_14062023010563', '0090018000_14062023010563']
Stack 9 with items: ['0090018000_14062023010213', '0090018000_14062023010213', '0090018000_14062023010213']
Stack 10 with items: ['0090018000_14062023010213', '0090018000_14062023010213', '0090018000_14062023010213']
Stack 11 with items: ['0090018000_14062023010213', '0090018000_14062023010213', '0090018000_14062023010213']
Stack 12 with items: ['0090018000_14062023010213', '0090018000_14062023010213', '0090018000_14062023010213']
Stack 13 with items: ['0090018000_14062023010213', '0090018000_14062023008665', '0090018000_14062023010213']
Stack 14 with items: ['0090018000_14062023008665', '0090018000_14062023008665', '0090018000_14062023008665']
Stack 15 with items: ['0090018000_14062023008443', '0090018000_14062023007944', '0090018000_14062023007944']
Stack 16 with items: ['0090018000_14062023007944', '0090018000_14062023007944', '0090018000_14062023007944']
Stack 17 with items: ['0090018000_14062023007687', '0090018000_14062023007021', '0090018000_14062023007687']
Stack 18 with items: ['0090018000_14062023006868', '0090018000_14062023006868', '0090018000_14062023006868']
Stack 19 with items: ['0090018000_14062023006868', '0090018000_14062023006868', '0090018000_14062023006868']
Stack 20 with items: ['0090018000_14062023006868', '0090018000_14062023006868', '0090018000_14062023006868']
Stack 21 with items: ['0090018000_14062023006702', '0090018000_14062023006702', '0090018000_14062023006702']
Stack 22 with items: ['0090018000_14062023005625', '0090018000_14062023005625', '0090018000_14062023005625', '0090018000_14062023005625']
Stack 23 with items: ['0090018000_14062023005625', '0090018000_14062023005625', '0090018000_14062023005625', '0090018000_14062023005625']
Stack 24 with items: ['0090018000_14062023005428', '0090018000_14062023005428', '0090018000_14062023005428']
Stack 25 with items: ['0090018000_14062023005428', '0090018000_14062023005428', '0090018000_14062023005428']
Stack 26 with items: ['0090018000_14062023005428', '0090018000_14062023005428', '0090018000_14062023005428']
Stack 27 with items: ['0090018000_14062023004556', '0090018000_14062023004345', '0090018000_14062023004556']
Stack 28 with items: ['0090018000_14062023004345', '0090018000_14062023004345', '0090018000_14062023004345']
Stack 29 with items: ['0090018000_14062023004301', '0090018000_14062023003428', '0090018000_14062023004301']
Stack 30 with items: ['0090018000_14062023003428', '0090018000_14062023002110', '0090018000_14062023003428']
Stack 31 with items: ['0090018000_14062023002110', '0090018000_14062023002110', '0090018000_14062023002110']
Stack 32 with items: ['0090018000_14062023002110', '0090018000_14062023002110', '0090018000_14062023002110']
Stack 33 with items: ['0090018000_14062023002110', '0090018000_14062023002110', '0090018000_14062023002110']
Stack 34 with items: ['0090018000_14062023002110', '0090018000_14062023002110', '0090018000_14062023002110']
Stack 35 with items: ['0090018000_14062023002110', '0090018000_14062023002110', '0090018000_14062023002110']
Stacks not packed:
Stack 1 missing: ['0090018000_14062023014327', '0090018000_14062023013901', '0090018000_14062023014327']
Stack 21 missing: ['0090018000_14062023006702', '0090018000_14062023006702', '0090018000_14062023006702']
Stack 29 missing: ['0090018000_14062023004301', '0090018000_14062023003428', '0090018000_14062023004301']
Stack 31 missing: ['0090018000_14062023002110', '0090018000_14062023002110', '0090018000_14062023002110']
Stack 32 missing: ['0090018000_14062023002110', '0090018000_14062023002110', '0090018000_14062023002110']
Stack 33 missing: ['0090018000_14062023002110', '0090018000_14062023002110', '0090018000_14062023002110']
Stack 34 missing: ['0090018000_14062023002110', '0090018000_14062023002110', '0090018000_14062023002110']
Stack 35 missing: ['0090018000_14062023002110', '0090018000_14062023002110', '0090018000_14062023002110']
