dataset: C
instance: DO
+-----------+
2D Packing Heuristic in Truck P082041111
Min2DVol: 32.16 [m2]
Stack 0 with items: ['0090019100_27022023016109', '0090019100_27022023003668', '0090019100_27022023003668']
Stack 1 with items: ['0090019100_27022023032006', '0090019100_27022023010288', '0090019100_27022023034891']
Stack 2 with items: ['0090019100_27022023008029', '0090019100_27022023020568', '0090019100_27022023025560', '0090019100_27022023036208']
Stack 3 with items: ['0090019100_27022023011522', '0090019100_27022023011522', '0090019100_27022023011522']
Stack 4 with items: ['0090019100_27022023025798', '0090019100_27022023025798']
Stack 5 with items: ['0090019100_27022023025798', '0090019100_27022023025798']
Stack 6 with items: ['0090019100_27022023025798', '0090019100_27022023025798']
Stack 7 with items: ['0090019100_27022023025798', '0090019100_27022023025798']
Stack 8 with items: ['0090019100_27022023025798', '0090019100_27022023025798']
Stack 9 with items: ['0090019100_27022023025798', '0090019100_27022023025798']
Stack 10 with items: ['0090019100_27022023025798', '0090019100_27022023025798']
Stack 11 with items: ['0090019100_27022023025798', '0090019100_27022023025798']
Stack 12 with items: ['0090019100_27022023025193', '0090019100_27022023025193']
Stack 13 with items: ['0090019100_27022023025193', '0090019100_27022023025193']
Stack 14 with items: ['0090019100_27022023023027', '0090019100_27022023023027']
Stack 15 with items: ['0090019100_27022023013316', '0090019100_27022023013316']
Heuristic packed all stacks
