dataset: C
instance: MA
+-----------+
2D Packing Heuristic in Truck P094138501
Min2DVol: 27.132620000000028 [m2]
Stack 0 with items: ['0090016200_27022023037128', '0090016200_27022023025931', '0090016200_27022023037128', '0090016200_27022023037128']
Stack 1 with items: ['0090016200_27022023025931', '0090016200_27022023021758', '0090016200_27022023025931', '0090016200_27022023025931']
Stack 2 with items: ['0090016200_27022023021758', '0090016200_27022023021758', '0090016200_27022023021758', '0090016200_27022023021758']
Stack 3 with items: ['0090016200_27022023021758', '0090016200_27022023021010', '0090016200_27022023021758', '0090016200_27022023021758']
Stack 4 with items: ['0090016200_27022023021010', '0090016200_27022023021010', '0090016200_27022023021010', '0090016200_27022023021010']
Stack 5 with items: ['0090016200_27022023021010', '0090016200_27022023021010', '0090016200_27022023021010', '0090016200_27022023021010']
Stack 6 with items: ['0090016200_27022023021010', '0090016200_27022023019038', '0090016200_27022023019038', '0090016200_27022023019038']
Stack 7 with items: ['0090016200_27022023019038', '0090016200_27022023018607', '0090016200_27022023018607', '0090016200_27022023015526']
Stack 8 with items: ['0090016200_27022023015526', '0090016200_27022023011002', '0090016200_27022023011002', '0090016200_27022023011002']
Stack 9 with items: ['0090016200_27022023011002', '0090016200_27022023000424', '0090016200_27022023011002', '0090016200_27022023011002']
Stack 10 with items: ['0090016200_27022023000424', '0090016200_27022023000424', '0090016200_27022023000424', '0090016200_27022023000424']
Stack 11 with items: ['0090016200_27022023000424', '0090016200_27022023000424', '0090016200_27022023000424', '0090016200_27022023000424']
Stack 12 with items: ['0090016200_27022023000424']
Stack 13 with items: ['0090016200_27022023001469']
Stack 14 with items: ['0090016200_27022023039527', '0090016200_27022023039527', '0090016200_27022023039527']
Stack 15 with items: ['0090016200_27022023039527', '0090016200_27022023039527', '0090016200_27022023039527']
Stack 16 with items: ['0090016200_27022023039527', '0090016200_27022023039527', '0090016200_27022023039527']
Stack 17 with items: ['0090016200_27022023039527', '0090016200_27022023039527', '0090016200_27022023039527']
Stack 18 with items: ['0090016200_27022023039527', '0090016200_27022023039527', '0090016200_27022023039527']
Stack 19 with items: ['0090016200_27022023039527', '0090016200_27022023039527', '0090016200_27022023039527']
Stack 20 with items: ['0090016200_27022023039527', '0090016200_27022023039527', '0090016200_27022023039527']
Stack 21 with items: ['0090016200_27022023039527', '0090016200_27022023039527', '0090016200_27022023039527']
Stack 22 with items: ['0090016200_27022023038403', '0090016200_27022023038403', '0090016200_27022023038403']
Stack 23 with items: ['0090016200_27022023035727', '0090016200_27022023031515', '0090016200_27022023031515']
Stack 24 with items: ['0090016200_27022023033140', '0090016200_27022023033140', '0090016200_27022023033140']
Stack 25 with items: ['0090016200_27022023033140', '0090016200_27022023033140', '0090016200_27022023033140']
Stack 26 with items: ['0090016200_27022023033140', '0090016200_27022023033140', '0090016200_27022023033140']
Stack 27 with items: ['0090016200_27022023033140', '0090016200_27022023031307', '0090016200_27022023031307']
Stack 28 with items: ['0090016200_27022023031515', '0090016200_27022023030210', '0090016200_27022023030210']
Stack 29 with items: ['0090016200_27022023031307', '0090016200_27022023028588', '0090016200_27022023028588']
Stack 30 with items: ['0090016200_27022023030210', '0090016200_27022023028376', '0090016200_27022023028376']
Stack 31 with items: ['0090016200_27022023028588', '0090016200_27022023021309', '0090016200_27022023021309']
Stack 32 with items: ['0090016200_27022023028376', '0090016200_27022023023329', '0090016200_27022023023329']
Stack 33 with items: ['0090016200_27022023022700', '0090016200_27022023018427', '0090016200_27022023022700']
Stack 34 with items: ['0090016200_27022023021309', '0090016200_27022023021309', '0090016200_27022023021309']
Stack 35 with items: ['0090016200_27022023021309', '0090016200_27022023021309', '0090016200_27022023021309']
Stack 36 with items: ['0090016200_27022023021309', '0090016200_27022023015929', '0090016200_27022023015929']
Stack 37 with items: ['0090016200_27022023018427', '0090016200_27022023018427', '0090016200_27022023018427']
Stack 38 with items: ['0090016200_27022023015929', '0090016200_27022023014737', '0090016200_27022023015929']
Stack 39 with items: ['0090016200_27022023015929', '0090016200_27022023014737', '0090016200_27022023015929']
Stack 40 with items: ['0090016200_27022023015929', '0090016200_27022023014737', '0090016200_27022023015929']
Stack 41 with items: ['0090016200_27022023015929', '0090016200_27022023014737', '0090016200_27022023015929']
Stack 42 with items: ['0090016200_27022023015929', '0090016200_27022023011350', '0090016200_27022023015929']
Stack 43 with items: ['0090016200_27022023015929', '0090016200_27022023009398', '0090016200_27022023015929']
Stack 44 with items: ['0090016200_27022023015929', '0090016200_27022023009398', '0090016200_27022023015929']
Stack 45 with items: ['0090016200_27022023015929', '0090016200_27022023010170', '0090016200_27022023009398']
Stack 46 with items: ['0090016200_27022023013975', '0090016200_27022023010694', '0090016200_27022023009841']
Stack 47 with items: ['0090016200_27022023010170', '0090016200_27022023009398', '0090016200_27022023010170']
Stack 48 with items: ['0090016200_27022023010170', '0090016200_27022023009398', '0090016200_27022023010170']
Stack 49 with items: ['0090016200_27022023010170', '0090016200_27022023009398', '0090016200_27022023010170']
Stack 50 with items: ['0090016200_27022023010170', '0090016200_27022023007650', '0090016200_27022023010170']
Stack 51 with items: ['0090016200_27022023010170', '0090016200_27022023007650', '0090016200_27022023010170']
Stack 52 with items: ['0090016200_27022023010170', '0090016200_27022023006032', '0090016200_27022023010170']
