dataset: X
instance: TR2
+-----------+
2D Packing Heuristic in Truck P171421403
Min2DVol: 27.59999999999999 [m2]
Stack 0 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 1 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 2 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 3 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 4 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 5 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 6 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 7 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 8 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 9 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 10 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 11 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 12 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 13 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 14 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 15 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 16 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 17 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 18 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 19 with items: ['0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 20 with items: ['0090017000_08062023002502', '0090017000_08062023008024', '0090017000_08062023008024', '0090017000_08062023008024']
Stack 21 with items: ['0090017000_08062023002502', '0090017000_08062023002502', '0090017000_08062023002502', '0090017000_08062023002502']
Stack 22 with items: ['0090017000_08062023002502', '0090017000_08062023002502', '0090017000_08062023002502']
Heuristic packed all stacks
