dataset: X
instance: RM2
+-----------+
2D Packing Heuristic in Truck P189390601
Min2DVol: 31.68000000000001 [m2]
Stack 0 with items: ['0090038200_08062023024004', '0090038200_08062023024004', '0090038200_08062023024004', '0090038200_08062023024004']
Stack 1 with items: ['0090038200_08062023024004', '0090038200_08062023024004', '0090038200_08062023024004', '0090038200_08062023024004']
Stack 2 with items: ['0090038200_08062023024004', '0090038200_08062023024004', '0090038200_08062023024004', '0090038200_08062023024004']
Stack 3 with items: ['0090038200_08062023024004', '0090038200_08062023024004', '0090038200_08062023024004', '0090038200_08062023024004']
Stack 4 with items: ['0090038200_08062023022515', '0090038200_08062023022515', '0090038200_08062023022515', '0090038200_08062023022515']
Stack 5 with items: ['0090038200_08062023022515', '0090038200_08062023011085', '0090038200_08062023022515', '0090038200_08062023022515']
Stack 6 with items: ['0090038200_08062023011085', '0090038200_08062023011085', '0090038200_08062023011085', '0090038200_08062023011085']
Stack 7 with items: ['0090038200_08062023011085', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023011085']
Stack 8 with items: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 9 with items: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 10 with items: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 11 with items: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 12 with items: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 13 with items: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 14 with items: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 15 with items: ['0090038200_08062023009892', '0090038200_08062023006892', '0090038200_08062023006892', '0090038200_08062023006892']
Stack 16 with items: ['0090038200_08062023006892', '0090038200_08062023004876', '0090038200_08062023004876', '0090038200_08062023004876']
Stack 17 with items: ['0090038200_08062023004876', '0090038200_08062023004876', '0090038200_08062023004876', '0090038200_08062023004876']
Stack 18 with items: ['0090038200_08062023004876', '0090038200_08062023004876', '0090038200_08062023004876', '0090038200_08062023004876']
Stack 19 with items: ['0090038200_08062023004876', '0090038200_08062023004876', '0090038200_08062023004876', '0090038200_08062023004876']
Stack 20 with items: ['0090038200_08062023004876', '0090038200_08062023004876', '0090038200_08062023004876', '0090038200_08062023004876']
Stack 21 with items: ['0090038200_08062023004839', '0090038200_08062023004839', '0090038200_08062023004839', '0090038200_08062023004839']
Stacks not packed:
Stack 4 missing: ['0090038200_08062023022515', '0090038200_08062023022515', '0090038200_08062023022515', '0090038200_08062023022515']
Stack 5 missing: ['0090038200_08062023022515', '0090038200_08062023011085', '0090038200_08062023022515', '0090038200_08062023022515']
Stack 6 missing: ['0090038200_08062023011085', '0090038200_08062023011085', '0090038200_08062023011085', '0090038200_08062023011085']
Stack 7 missing: ['0090038200_08062023011085', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023011085']
Stack 10 missing: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 11 missing: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 12 missing: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 13 missing: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 14 missing: ['0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892', '0090038200_08062023009892']
Stack 15 missing: ['0090038200_08062023009892', '0090038200_08062023006892', '0090038200_08062023006892', '0090038200_08062023006892']
Stack 16 missing: ['0090038200_08062023006892', '0090038200_08062023004876', '0090038200_08062023004876', '0090038200_08062023004876']
