dataset: B
instance: SA2
+-----------+
2D Packing Heuristic in Truck P320157205
Min2DVol: 15.329519999999993 [m2]
Stack 0 with items: ['0090017100_26102022005630', '0090017100_26102022013589', '0090017100_26102022013589']
Stack 1 with items: ['0090017100_26102022005630', '0090017100_26102022004478', '0090017100_26102022004478']
Stack 2 with items: ['0090017100_26102022015224', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022015224']
Stack 3 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 4 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 5 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 6 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 7 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 8 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 9 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 10 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 11 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 12 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 13 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 14 with items: ['0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 15 with items: ['0090017100_26102022012159', '0090017100_26102022012094', '0090017100_26102022012159', '0090017100_26102022012159']
Stack 16 with items: ['0090017100_26102022012094', '0090017100_26102022010494', '0090017100_26102022010494', '0090017100_26102022012094']
Stack 17 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 18 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 19 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 20 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 21 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 22 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 23 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 24 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 25 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 26 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 27 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 28 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 29 with items: ['0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229', '0090017100_26102022010229']
Stack 30 with items: ['0090017100_26102022010229', '0090017100_26102022008001', '0090017100_26102022008001']
Heuristic packed all stacks
