dataset: B
instance: TA
+-----------+
2D Packing Heuristic in Truck P353386003
Min2DVol: 32.88000000000001 [m2]
Stack 0 with items: ['0090038300_26102022007918', '0090038300_26102022007918', '0090038300_26102022007918']
Stack 1 with items: ['0090038300_26102022005009', '0090038300_26102022005009', '0090038300_26102022005009']
Stack 2 with items: ['0090038300_26102022007918', '0090038300_26102022007918', '0090038300_26102022007918']
Stack 3 with items: ['0090038300_26102022005009', '0090038300_26102022005009', '0090038300_26102022005009']
Stack 4 with items: ['0090038300_26102022007918', '0090038300_26102022007918', '0090038300_26102022007918']
Stack 5 with items: ['0090038300_26102022005009', '0090038300_26102022007918', '0090038300_26102022007918']
Stack 6 with items: ['0090038300_26102022007918', '0090038300_26102022007918', '0090038300_26102022007918']
Stack 7 with items: ['0090038300_26102022007918', '0090038300_26102022005009', '0090038300_26102022007918']
Stack 8 with items: ['0090038300_26102022005009', '0090038300_26102022005009', '0090038300_26102022005009']
Stack 9 with items: ['0090038300_26102022007918', '0090038300_26102022005009', '0090038300_26102022007918']
Stack 10 with items: ['0090038300_26102022007918', '0090038300_26102022007918', '0090038300_26102022007918']
Stack 11 with items: ['0090038300_26102022005009', '0090038300_26102022007918', '0090038300_26102022007918']
Stack 12 with items: ['0090038300_26102022007918']
Stack 13 with items: ['0090038300_26102022010571', '0090038300_26102022010571', '0090038300_26102022010571']
Stack 14 with items: ['0090038300_26102022010571', '0090038300_26102022010571', '0090038300_26102022010571']
Stack 15 with items: ['0090038300_26102022009999', '0090038300_26102022009999', '0090038300_26102022009999']
Stack 16 with items: ['0090038300_26102022009999', '0090038300_26102022009999', '0090038300_26102022009999']
Stack 17 with items: ['0090038300_26102022005844', '0090038300_26102022005844', '0090038300_26102022005844']
Stack 18 with items: ['0090038300_26102022005844', '0090038300_26102022005844', '0090038300_26102022005844']
Stack 19 with items: ['0090038300_26102022005673', '0090038300_26102022005673', '0090038300_26102022005673']
Stack 20 with items: ['0090038300_26102022005673', '0090038300_26102022005673', '0090038300_26102022005673']
Stack 21 with items: ['0090038300_26102022005673', '0090038300_26102022005673', '0090038300_26102022005673']
Stacks not packed:
Stack 8 missing: ['0090038300_26102022005009', '0090038300_26102022005009', '0090038300_26102022005009']
