dataset: C
instance: TA3
+-----------+
2D Packing Heuristic in Truck P073388101
Min2DVol: 28.820399999999992 [m2]
Stack 0 with items: ['0090038300_28022023023450', '0090038300_28022023023450']
Stack 1 with items: ['0090038300_28022023023450', '0090038300_28022023023450']
Stack 2 with items: ['0090038300_28022023023450', '0090038300_28022023023450']
Stack 3 with items: ['0090038300_28022023023450', '0090038300_28022023023450']
Stack 4 with items: ['0090038300_28022023023450', '0090038300_28022023023450']
Stack 5 with items: ['0090038300_28022023023450', '0090038300_28022023023450']
Stack 6 with items: ['0090038300_28022023023450', '0090038300_28022023023450']
Stack 7 with items: ['0090038300_28022023023450', '0090038300_28022023023450']
Stack 8 with items: ['0090038300_28022023023450', '0090038300_28022023012732']
Stack 9 with items: ['0090038300_28022023012732', '0090038300_28022023012732']
Stack 10 with items: ['0090038300_28022023012732', '0090038300_28022023012732']
Stack 11 with items: ['0090038300_28022023012732', '0090038300_28022023012732']
Stack 12 with items: ['0090038300_28022023012732', '0090038300_28022023012280']
Stack 13 with items: ['0090038300_28022023012280', '0090038300_28022023009771']
Heuristic packed all stacks
