dataset: B
instance: SA2
+-----------+
2D Packing Heuristic in Truck P322331401
Min2DVol: 23.13306000000001 [m2]
Stack 0 with items: ['0090017100_26102022001494', '0090017100_26102022015965']
Stack 1 with items: ['0090017100_26102022001494', '0090017100_26102022001494', '0090017100_26102022001494', '0090017100_26102022001494']
Stack 2 with items: ['0090017100_26102022001494', '0090017100_26102022001494', '0090017100_26102022001494', '0090017100_26102022001494']
Stack 3 with items: ['0090017100_26102022011255', '0090017100_26102022011255', '0090017100_26102022011255', '0090017100_26102022011255']
Stack 4 with items: ['0090017100_26102022011255', '0090017100_26102022011255', '0090017100_26102022011255', '0090017100_26102022011255']
Stack 5 with items: ['0090017100_26102022011255', '0090017100_26102022011255', '0090017100_26102022011255', '0090017100_26102022011255']
Stack 6 with items: ['0090017100_26102022011255', '0090017100_26102022011255', '0090017100_26102022011255', '0090017100_26102022011255']
Stack 7 with items: ['0090017100_26102022011255', '0090017100_26102022011255', '0090017100_26102022011255']
Stack 8 with items: ['0090017100_26102022011255', '0090017100_26102022001494', '0090017100_26102022011255', '0090017100_26102022011255']
Stack 9 with items: ['0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932']
Stack 10 with items: ['0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932']
Stack 11 with items: ['0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932']
Stack 12 with items: ['0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932']
Stack 13 with items: ['0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932']
Stack 14 with items: ['0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932']
Stack 15 with items: ['0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932']
Stack 16 with items: ['0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932']
Stack 17 with items: ['0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932']
Stack 18 with items: ['0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932', '0090017100_26102022011932']
Stack 19 with items: ['0090017100_26102022011932', '0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 20 with items: ['0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 21 with items: ['0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 22 with items: ['0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 23 with items: ['0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 24 with items: ['0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 25 with items: ['0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 26 with items: ['0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 27 with items: ['0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 28 with items: ['0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 29 with items: ['0090017100_26102022008686', '0090017100_26102022002074', '0090017100_26102022008686', '0090017100_26102022008686']
Stack 30 with items: ['0090017100_26102022002074', '0090017100_26102022002074', '0090017100_26102022002074', '0090017100_26102022002074']
Stack 31 with items: ['0090017100_26102022002074', '0090017100_26102022002074', '0090017100_26102022002074', '0090017100_26102022002074']
Stack 32 with items: ['0090017100_26102022002074', '0090017100_26102022001703', '0090017100_26102022001703', '0090017100_26102022002074']
Stack 33 with items: ['0090017100_26102022001703', '0090017100_26102022001703', '0090017100_26102022001703', '0090017100_26102022001703']
Stack 34 with items: ['0090017100_26102022012020']
Heuristic packed all stacks
