dataset: B
instance: FS
+-----------+
2D Packing Heuristic in Truck P321520301
Min2DVol: 21.120000000000005 [m2]
Stack 0 with items: ['0091017500_26102022001698', '0091017500_26102022001698', '0091017500_26102022001698']
Stack 1 with items: ['0091017500_26102022001698', '0091017500_26102022001698', '0091017500_26102022001698']
Stack 2 with items: ['0091017500_26102022001698', '0091017500_26102022001698', '0091017500_26102022001698']
Stack 3 with items: ['0091017500_26102022001698', '0091017500_26102022001698', '0091017500_26102022001698']
Stack 4 with items: ['0091017500_26102022001698', '0091017500_26102022001698', '0091017500_26102022001698']
Stack 5 with items: ['0091017500_26102022001698', '0091017500_26102022001698', '0091017500_26102022001698']
Stack 6 with items: ['0091017500_26102022001698', '0091017500_26102022001698', '0091017500_26102022001698']
Stack 7 with items: ['0091017500_26102022001698', '0091017500_26102022001698', '0091017500_26102022001698']
Stack 8 with items: ['0091017500_26102022001698', '0091017500_26102022001698', '0091017500_26102022001698']
Stack 9 with items: ['0091017500_26102022001698', '0091017500_26102022001698', '0091017500_26102022001698']
Stack 10 with items: ['0091017500_26102022000654', '0091017500_26102022000654', '0091017500_26102022000654']
Heuristic packed all stacks
