dataset: C
instance: VA
+-----------+
2D Packing Heuristic in Truck P107540703
Min2DVol: 32.19611999999999 [m2]
Stack 0 with items: ['0091017300_27022023016882', '0091017300_27022023018355', '0091017300_27022023018407']
Stack 1 with items: ['0091017300_27022023013073', '0091017300_27022023020619', '0091017300_27022023040737']
Stack 2 with items: ['0091017300_27022023047376', '0091017300_27022023047376']
Stack 3 with items: ['0091017300_27022023036424', '0091017300_27022023036424']
Stack 4 with items: ['0091017300_27022023036424', '0091017300_27022023036424']
Stack 5 with items: ['0091017300_27022023036424', '0091017300_27022023036424']
Stack 6 with items: ['0091017300_27022023036424', '0091017300_27022023036424']
Stack 7 with items: ['0091017300_27022023036424', '0091017300_27022023036424']
Stack 8 with items: ['0091017300_27022023036424', '0091017300_27022023036424']
Stack 9 with items: ['0091017300_27022023036424', '0091017300_27022023036424']
Stack 10 with items: ['0091017300_27022023033593', '0091017300_27022023033593']
Stack 11 with items: ['0091017300_27022023033593', '0091017300_27022023033593']
Stack 12 with items: ['0091017300_27022023033593', '0091017300_27022023033593']
Stack 13 with items: ['0091017300_27022023033593', '0091017300_27022023033593']
Stack 14 with items: ['0091017300_27022023033593', '0091017300_27022023033593']
Stack 15 with items: ['0091017300_27022023033593', '0091017300_27022023033593']
Stack 16 with items: ['0091017300_27022023033593', '0091017300_27022023033593']
Stack 17 with items: ['0091017300_27022023033593', '0091017300_27022023033593']
Heuristic packed all stacks
