dataset: B
instance: PA2
+-----------+
2D Packing Heuristic in Truck P339513003
Min2DVol: 21.120000000000005 [m2]
Stack 0 with items: ['0091017200_26102022017092', '0091017200_26102022016513', '0091017200_26102022016513']
Stack 1 with items: ['0091017200_26102022016513', '0091017200_26102022015277', '0091017200_26102022015277']
Stack 2 with items: ['0091017200_26102022015277', '0091017200_26102022015277', '0091017200_26102022015277']
Stack 3 with items: ['0091017200_26102022014611', '0091017200_26102022014611', '0091017200_26102022014611']
Stack 4 with items: ['0091017200_26102022014611', '0091017200_26102022014611', '0091017200_26102022014611']
Stack 5 with items: ['0091017200_26102022014257', '0091017200_26102022014257', '0091017200_26102022014257']
Stack 6 with items: ['0091017200_26102022014257', '0091017200_26102022007061', '0091017200_26102022014257']
Stack 7 with items: ['0091017200_26102022004134', '0091017200_26102022004134', '0091017200_26102022004134']
Stack 8 with items: ['0091017200_26102022004134', '0091017200_26102022004134', '0091017200_26102022004134']
Stack 9 with items: ['0091017200_26102022004134', '0091017200_26102022004134', '0091017200_26102022004134']
Stack 10 with items: ['0091017200_26102022004134', '0091017200_26102022004134', '0091017200_26102022004134']
Heuristic packed all stacks
