dataset: C
instance: CI3
+-----------+
2D Packing Heuristic in Truck P088400101
Min2DVol: 31.602245999999987 [m2]
Stack 0 with items: ['0090016800_28022023002321']
Stack 1 with items: ['0090016800_28022023017639', '0090016800_28022023012414', '0090016800_28022023012414']
Stack 2 with items: ['0090016800_28022023017639', '0090016800_28022023017639', '0090016800_28022023017639']
Stack 3 with items: ['0090016800_28022023005984', '0090016800_28022023004447', '0090016800_28022023004447']
Stack 4 with items: ['0090016800_28022023019439', '0090016800_28022023019439', '0090016800_28022023019439']
Stack 5 with items: ['0090016800_28022023019439', '0090016800_28022023019439', '0090016800_28022023019439']
Stack 6 with items: ['0090016800_28022023019439', '0090016800_28022023019439', '0090016800_28022023019439']
Stack 7 with items: ['0090016800_28022023019439', '0090016800_28022023019439', '0090016800_28022023019439']
Stack 8 with items: ['0090016800_28022023019439', '0090016800_28022023019439', '0090016800_28022023019439']
Stack 9 with items: ['0090016800_28022023019439', '0090016800_28022023019439', '0090016800_28022023019439']
Stack 10 with items: ['0090016800_28022023019439', '0090016800_28022023019439', '0090016800_28022023019439']
Stack 11 with items: ['0090016800_28022023019439', '0090016800_28022023018417', '0090016800_28022023019439']
Stack 12 with items: ['0090016800_28022023018417', '0090016800_28022023018402', '0090016800_28022023018402']
Stack 13 with items: ['0090016800_28022023017196', '0090016800_28022023017196', '0090016800_28022023017196']
Stack 14 with items: ['0090016800_28022023017196', '0090016800_28022023017196', '0090016800_28022023017196']
Stack 15 with items: ['0090016800_28022023017196', '0090016800_28022023017196', '0090016800_28022023017196']
Stack 16 with items: ['0090016800_28022023017196', '0090016800_28022023017196', '0090016800_28022023017196']
Stack 17 with items: ['0090016800_28022023017196', '0090016800_28022023017196', '0090016800_28022023017196']
Stack 18 with items: ['0090016800_28022023017196', '0090016800_28022023017196', '0090016800_28022023017196']
Stack 19 with items: ['0090016800_28022023006744', '0090016800_28022023006744', '0090016800_28022023006744']
Stack 20 with items: ['0090016800_28022023005292', '0090016800_28022023005292', '0090016800_28022023005292']
Stack 21 with items: ['0090016800_28022023005292', '0090016800_28022023005292', '0090016800_28022023005292']
Stack 22 with items: ['0090016800_28022023005292', '0090016800_28022023005292', '0090016800_28022023005292']
Stack 23 with items: ['0090016800_28022023005292', '0090016800_28022023005292', '0090016800_28022023005292']
Stack 24 with items: ['0090016800_28022023005292', '0090016800_28022023005292', '0090016800_28022023005292']
Stack 25 with items: ['0090016800_28022023005292', '0090016800_28022023005292', '0090016800_28022023005292']
Heuristic packed all stacks
