dataset: X
instance: BY3
+-----------+
2D Packing Heuristic in Truck P178069003
Min2DVol: 30.47999999999999 [m2]
Stack 0 with items: ['0090016900_08062023001596']
Stack 1 with items: ['0090016900_08062023001596']
Stack 2 with items: ['0090016900_08062023043709', '0090016900_08062023043709']
Stack 3 with items: ['0090016900_08062023043709', '0090016900_08062023043709']
Stack 4 with items: ['0090016900_08062023043709', '0090016900_08062023043709']
Stack 5 with items: ['0090016900_08062023020181', '0090016900_08062023020181']
Stack 6 with items: ['0090016900_08062023020181', '0090016900_08062023020181']
Stack 7 with items: ['0090016900_08062023018938', '0090016900_08062023018938']
Stack 8 with items: ['0090016900_08062023018938', '0090016900_08062023018938']
Stack 9 with items: ['0090016900_08062023018938', '0090016900_08062023018938']
Stack 10 with items: ['0090016900_08062023018938', '0090016900_08062023018938']
Stack 11 with items: ['0090016900_08062023018938', '0090016900_08062023018938']
Stack 12 with items: ['0090016900_08062023014928', '0090016900_08062023014928']
Stack 13 with items: ['0090016900_08062023014928', '0090016900_08062023014928']
Stack 14 with items: ['0090016900_08062023014928', '0090016900_08062023014928']
Stack 15 with items: ['0090016900_08062023007381', '0090016900_08062023007381']
Stack 16 with items: ['0090016900_08062023007381', '0090016900_08062023007381']
Stack 17 with items: ['0090016900_08062023007381', '0090016900_08062023007381']
Stack 18 with items: ['0090016900_08062023007381', '0090016900_08062023007381']
Stack 19 with items: ['0090016900_08062023007381', '0090016900_08062023007381']
Stack 20 with items: ['0090016900_08062023006846', '0090016900_08062023006846']
Stack 21 with items: ['0090016900_08062023006846', '0090016900_08062023006846']
Stack 22 with items: ['0090016900_08062023006846', '0090016900_08062023006846']
Stack 23 with items: ['0090016900_08062023006846', '0090016900_08062023006846']
Stack 24 with items: ['0090016900_08062023006846', '0090016900_08062023006846']
Stacks not packed:
Stack 1 missing: ['0090016900_08062023001596']
Stack 5 missing: ['0090016900_08062023020181', '0090016900_08062023020181']
Stack 6 missing: ['0090016900_08062023020181', '0090016900_08062023020181']
Stack 7 missing: ['0090016900_08062023018938', '0090016900_08062023018938']
Stack 8 missing: ['0090016900_08062023018938', '0090016900_08062023018938']
Stack 9 missing: ['0090016900_08062023018938', '0090016900_08062023018938']
Stack 10 missing: ['0090016900_08062023018938', '0090016900_08062023018938']
Stack 11 missing: ['0090016900_08062023018938', '0090016900_08062023018938']
Stack 12 missing: ['0090016900_08062023014928', '0090016900_08062023014928']
Stack 13 missing: ['0090016900_08062023014928', '0090016900_08062023014928']
Stack 14 missing: ['0090016900_08062023014928', '0090016900_08062023014928']
Stack 24 missing: ['0090016900_08062023006846', '0090016900_08062023006846']
