dataset: C
instance: BY
+-----------+
2D Packing Heuristic in Truck P068067503
Min2DVol: 31.308359999999986 [m2]
Stack 0 with items: ['0090016900_27022023010471', '0090016900_27022023010471']
Stack 1 with items: ['0090016900_27022023010471', '0090016900_27022023010471']
Stack 2 with items: ['0090016900_27022023020136', '0090016900_27022023020136']
Stack 3 with items: ['0090016900_27022023010471', '0090016900_27022023010471']
Stack 4 with items: ['0090016900_27022023010471', '0090016900_27022023010471']
Stack 5 with items: ['0090016900_27022023010471', '0090016900_27022023010471']
Stack 6 with items: ['0090016900_27022023049982', '0090016900_27022023049982', '0090016900_27022023049982']
Stack 7 with items: ['0090016900_27022023049982', '0090016900_27022023049982', '0090016900_27022023049982']
Stack 8 with items: ['0090016900_27022023049982', '0090016900_27022023049982', '0090016900_27022023049982']
Stack 9 with items: ['0090016900_27022023049982', '0090016900_27022023049982', '0090016900_27022023049982']
Stack 10 with items: ['0090016900_27022023049982', '0090016900_27022023049982', '0090016900_27022023049982']
Stack 11 with items: ['0090016900_27022023049982', '0090016900_27022023049982', '0090016900_27022023049982']
Stack 12 with items: ['0090016900_27022023049982', '0090016900_27022023049982', '0090016900_27022023049982']
Stack 13 with items: ['0090016900_27022023049982', '0090016900_27022023049982', '0090016900_27022023049982']
Stack 14 with items: ['0090016900_27022023049982', '0090016900_27022023049982', '0090016900_27022023049982']
Stack 15 with items: ['0090016900_27022023037205', '0090016900_27022023036249', '0090016900_27022023037205']
Stack 16 with items: ['0090016900_27022023035812', '0090016900_27022023035812', '0090016900_27022023035812']
Stack 17 with items: ['0090016900_27022023035812', '0090016900_27022023035812', '0090016900_27022023035812']
Stack 18 with items: ['0090016900_27022023035812', '0090016900_27022023035812', '0090016900_27022023035812']
Stack 19 with items: ['0090016900_27022023035812', '0090016900_27022023035812', '0090016900_27022023035812']
Stack 20 with items: ['0090016900_27022023035812', '0090016900_27022023035812', '0090016900_27022023035812']
Stack 21 with items: ['0090016900_27022023035812', '0090016900_27022023035812', '0090016900_27022023035812']
Stack 22 with items: ['0090016900_27022023035812', '0090016900_27022023035812', '0090016900_27022023035812']
Stack 23 with items: ['0090016900_27022023035812', '0090016900_27022023035812', '0090016900_27022023035812']
Stack 24 with items: ['0090016900_27022023035812', '0090016900_27022023035812', '0090016900_27022023035812']
Stack 25 with items: ['0090016900_27022023034280', '0090016900_27022023023700', '0090016900_27022023034280']
Heuristic packed all stacks
