dataset: B
instance: TR
+-----------+
2D Packing Heuristic in Truck P329278701
Min2DVol: 25.199999999999992 [m2]
Stack 0 with items: ['0090017000_26102022009128', '0090017000_26102022009128']
Stack 1 with items: ['0090017000_26102022008218', '0090017000_26102022008218']
Stack 2 with items: ['0090017000_26102022008218', '0090017000_26102022008218']
Stack 3 with items: ['0090017000_26102022008218', '0090017000_26102022007764']
Stack 4 with items: ['0090017000_26102022007764', '0090017000_26102022007764']
Stack 5 with items: ['0090017000_26102022007737', '0090017000_26102022007737']
Stack 6 with items: ['0090017000_26102022007737', '0090017000_26102022007737']
Stack 7 with items: ['0090017000_26102022007737', '0090017000_26102022007737']
Stack 8 with items: ['0090017000_26102022007737', '0090017000_26102022007737']
Stack 9 with items: ['0090017000_26102022007737', '0090017000_26102022007737']
Stack 10 with items: ['0090017000_26102022007737', '0090017000_26102022007256']
Stack 11 with items: ['0090017000_26102022007256', '0090017000_26102022007256']
Stack 12 with items: ['0090017000_26102022007256', '0090017000_26102022006447']
Stack 13 with items: ['0090017000_26102022006447', '0090017000_26102022005704']
Stack 14 with items: ['0090017000_26102022005704', '0090017000_26102022005704']
Stack 15 with items: ['0090017000_26102022005704', '0090017000_26102022005704']
Stack 16 with items: ['0090017000_26102022005704', '0090017000_26102022003950']
Stack 17 with items: ['0090017000_26102022003950', '0090017000_26102022003950']
Stack 18 with items: ['0090017000_26102022003568', '0090017000_26102022001923']
Stack 19 with items: ['0090017000_26102022001923', '0090017000_26102022001923']
Stack 20 with items: ['0090017000_26102022001923']
Heuristic packed all stacks
