dataset: X
instance: SA3
+-----------+
2D Packing Heuristic in Truck P199050601
Min2DVol: 31.23611999999999 [m2]
Stack 0 with items: ['0090017100_08062023026511', '0090017100_08062023021923']
Stack 1 with items: ['0090017100_08062023005438', '0090017100_08062023000058']
Stack 2 with items: ['0090017100_08062023027175', '0090017100_08062023025531', '0090017100_08062023025068']
Stack 3 with items: ['0090017100_08062023024896', '0090017100_08062023023443', '0090017100_08062023022060']
Stack 4 with items: ['0090017100_08062023024030', '0090017100_08062023023761', '0090017100_08062023023550']
Stack 5 with items: ['0090017100_08062023021862', '0090017100_08062023021795', '0090017100_08062023021795']
Stack 6 with items: ['0090017100_08062023021795', '0090017100_08062023021120', '0090017100_08062023020088']
Stack 7 with items: ['0090017100_08062023020088', '0090017100_08062023020088', '0090017100_08062023020088']
Stack 8 with items: ['0090017100_08062023020088', '0090017100_08062023019745', '0090017100_08062023020088']
Stack 9 with items: ['0090017100_08062023018785', '0090017100_08062023018385', '0090017100_08062023018385']
Stack 10 with items: ['0090017100_08062023018385', '0090017100_08062023017922', '0090017100_08062023017922']
Stack 11 with items: ['0090017100_08062023018054', '0090017100_08062023016997', '0090017100_08062023002786']
Stack 12 with items: ['0090017100_08062023017922', '0090017100_08062023015982', '0090017100_08062023015092']
Stack 13 with items: ['0090017100_08062023015092', '0090017100_08062023014416', '0090017100_08062023015092']
Stack 14 with items: ['0090017100_08062023012021', '0090017100_08062023012021', '0090017100_08062023012021']
Stack 15 with items: ['0090017100_08062023012021', '0090017100_08062023012021', '0090017100_08062023012021']
Stack 16 with items: ['0090017100_08062023012021', '0090017100_08062023011288', '0090017100_08062023011288']
Stack 17 with items: ['0090017100_08062023011288', '0090017100_08062023009972', '0090017100_08062023009972']
Stack 18 with items: ['0090017100_08062023008793', '0090017100_08062023008793', '0090017100_08062023008793']
Stack 19 with items: ['0090017100_08062023008659', '0090017100_08062023008612', '0090017100_08062023008659']
Stack 20 with items: ['0090017100_08062023008612', '0090017100_08062023007386', '0090017100_08062023007386']
Stack 21 with items: ['0090017100_08062023007249', '0090017100_08062023007017', '0090017100_08062023007017']
Stack 22 with items: ['0090017100_08062023007017', '0090017100_08062023007017', '0090017100_08062023007017']
Stack 23 with items: ['0090017100_08062023007017', '0090017100_08062023005393', '0090017100_08062023004533']
Stack 24 with items: ['0090017100_08062023004533', '0090017100_08062023003060', '0090017100_08062023004533']
Stack 25 with items: ['0090017100_08062023002251', '0090017100_08062023001956', '0090017100_08062023001956']
Heuristic packed all stacks
