dataset: X
instance: MA3
+-----------+
2D Packing Heuristic in Truck P201038701
Min2DVol: 30.108359999999987 [m2]
Stack 0 with items: ['0090016200_08062023000076', '0090016200_08062023000454']
Stack 1 with items: ['0090016200_08062023025786', '0090016200_08062023003570']
Stack 2 with items: ['0090016200_08062023000076', '0090016200_08062023000076']
Stack 3 with items: ['0090016200_08062023002976', '0090016200_08062023021154']
Stack 4 with items: ['0090016200_08062023023961', '0090016200_08062023021154']
Stack 5 with items: ['0090016200_08062023021154', '0090016200_08062023021154']
Stack 6 with items: ['0090016200_08062023034696', '0090016200_08062023034696', '0090016200_08062023034696']
Stack 7 with items: ['0090016200_08062023034696', '0090016200_08062023034696', '0090016200_08062023034696']
Stack 8 with items: ['0090016200_08062023033762', '0090016200_08062023033762', '0090016200_08062023033762']
Stack 9 with items: ['0090016200_08062023031044', '0090016200_08062023031044', '0090016200_08062023031044']
Stack 10 with items: ['0090016200_08062023031044', '0090016200_08062023031044', '0090016200_08062023031044']
Stack 11 with items: ['0090016200_08062023031044', '0090016200_08062023031044', '0090016200_08062023031044']
Stack 12 with items: ['0090016200_08062023031044', '0090016200_08062023031044', '0090016200_08062023031044']
Stack 13 with items: ['0090016200_08062023031044', '0090016200_08062023031044', '0090016200_08062023031044']
Stack 14 with items: ['0090016200_08062023031044', '0090016200_08062023029874', '0090016200_08062023029203']
Stack 15 with items: ['0090016200_08062023029203', '0090016200_08062023029203', '0090016200_08062023029203']
Stack 16 with items: ['0090016200_08062023029203', '0090016200_08062023024832', '0090016200_08062023029203']
Stack 17 with items: ['0090016200_08062023024832', '0090016200_08062023024832', '0090016200_08062023024832']
Stack 18 with items: ['0090016200_08062023024832', '0090016200_08062023015779', '0090016200_08062023024832']
Stack 19 with items: ['0090016200_08062023015779', '0090016200_08062023015779', '0090016200_08062023015779']
Stack 20 with items: ['0090016200_08062023015779', '0090016200_08062023013246', '0090016200_08062023015779']
Stack 21 with items: ['0090016200_08062023013246', '0090016200_08062023012150', '0090016200_08062023010043']
Stack 22 with items: ['0090016200_08062023010043', '0090016200_08062023006057', '0090016200_08062023010043']
Stack 23 with items: ['0090016200_08062023005622', '0090016200_08062023005622', '0090016200_08062023005622']
Stack 24 with items: ['0090016200_08062023000120', '0090016200_08062023000120', '0090016200_08062023000120']
Heuristic packed all stacks
