dataset: A
instance: MA2
+-----------+
2D Packing Heuristic in Truck P238139503
Min2DVol: 18.96903 [m2]
Stack 0 with items: ['0090016200_03072022016325', '0090016200_03072022016046', '0090016200_03072022016325']
Stack 1 with items: ['0090016200_03072022015707', '0090016200_03072022015707', '0090016200_03072022015707']
Stack 2 with items: ['0090016200_03072022015707', '0090016200_03072022015707', '0090016200_03072022015707']
Stack 3 with items: ['0090016200_03072022015707', '0090016200_03072022015707', '0090016200_03072022015707']
Stack 4 with items: ['0090016200_03072022015707', '0090016200_03072022014983', '0090016200_03072022014678']
Stack 5 with items: ['0090016200_03072022013568', '0090016200_03072022013341', '0090016200_03072022013341']
Stack 6 with items: ['0090016200_03072022013024', '0090016200_03072022011884', '0090016200_03072022013024']
Stack 7 with items: ['0090016200_03072022011884', '0090016200_03072022011055', '0090016200_03072022011055']
Stack 8 with items: ['0090016200_03072022011055', '0090016200_03072022011055', '0090016200_03072022011055']
Stack 9 with items: ['0090016200_03072022010860', '0090016200_03072022008663', '0090016200_03072022010860']
Stack 10 with items: ['0090016200_03072022008663', '0090016200_03072022008521', '0090016200_03072022008663']
Stack 11 with items: ['0090016200_03072022008663', '0090016200_03072022007821', '0090016200_03072022008663']
Stack 12 with items: ['0090016200_03072022008663', '0090016200_03072022007821', '0090016200_03072022008663']
Stack 13 with items: ['0090016200_03072022007264', '0090016200_03072022007264', '0090016200_03072022007264']
Stack 14 with items: ['0090016200_03072022007264', '0090016200_03072022007264', '0090016200_03072022007264']
Stack 15 with items: ['0090016200_03072022007264', '0090016200_03072022007264', '0090016200_03072022007264']
Stack 16 with items: ['0090016200_03072022007264', '0090016200_03072022004477', '0090016200_03072022007264']
Stack 17 with items: ['0090016200_03072022004477', '0090016200_03072022001224', '0090016200_03072022004477']
Stack 18 with items: ['0090016200_03072022004477', '0090016200_03072022001224', '0090016200_03072022004477']
Stack 19 with items: ['0090016200_03072022004477', '0090016200_03072022001224', '0090016200_03072022004477']
Stack 20 with items: ['0090016200_03072022004477', '0090016200_03072022001224', '0090016200_03072022001224']
Stack 21 with items: ['0090016200_03072022001575', '0090016200_03072022014002', '0090016200_03072022014002']
Stack 22 with items: ['0090016200_03072022001575', '0090016200_03072022010053', '0090016200_03072022011532']
Stack 23 with items: ['0090016200_03072022001575', '0090016200_03072022008712', '0090016200_03072022008712']
Stack 24 with items: ['0090016200_03072022011532', '0090016200_03072022001575', '0090016200_03072022015083']
Stack 25 with items: ['0090016200_03072022008712', '0090016200_03072022008712', '0090016200_03072022010053']
Stack 26 with items: ['0090016200_03072022015083']
Stack 27 with items: ['0090016200_03072022014861', '0090016200_03072022006517']
Stacks not packed:
Stack 6 missing: ['0090016200_03072022013024', '0090016200_03072022011884', '0090016200_03072022013024']
Stack 9 missing: ['0090016200_03072022010860', '0090016200_03072022008663', '0090016200_03072022010860']
Stack 10 missing: ['0090016200_03072022008663', '0090016200_03072022008521', '0090016200_03072022008663']
Stack 12 missing: ['0090016200_03072022008663', '0090016200_03072022007821', '0090016200_03072022008663']
Stack 21 missing: ['0090016200_03072022001575', '0090016200_03072022014002', '0090016200_03072022014002']
