dataset: C
instance: SA
+-----------+
2D Packing Heuristic in Truck P088157215
Min2DVol: 22.674600000000012 [m2]
Stack 0 with items: ['0090017100_27022023026101', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 1 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 2 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 3 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 4 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 5 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 6 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 7 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 8 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 9 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 10 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 11 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 12 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 13 with items: ['0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324', '0090017100_27022023025324']
Stack 14 with items: ['0090017100_27022023025324', '0090017100_27022023022695', '0090017100_27022023025099', '0090017100_27022023022695']
Stack 15 with items: ['0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630']
Stack 16 with items: ['0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630']
Stack 17 with items: ['0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630']
Stack 18 with items: ['0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630']
Stack 19 with items: ['0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630']
Stack 20 with items: ['0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630']
Stack 21 with items: ['0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630']
Stack 22 with items: ['0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630']
Stack 23 with items: ['0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630']
Stack 24 with items: ['0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630', '0090017100_27022023020630']
Stack 25 with items: ['0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453']
Stack 26 with items: ['0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453']
Stack 27 with items: ['0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453']
Stack 28 with items: ['0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453']
Stack 29 with items: ['0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453']
Stack 30 with items: ['0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453']
Stack 31 with items: ['0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453']
Stack 32 with items: ['0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453']
Stack 33 with items: ['0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453']
Stack 34 with items: ['0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453', '0090017100_27022023016453']
Stack 35 with items: ['0090017100_27022023016453', '0090017100_27022023014874', '0090017100_27022023015613', '0090017100_27022023007919']
Stack 36 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 37 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 38 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 39 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 40 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 41 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 42 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 43 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 44 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 45 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 46 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 47 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
Stack 48 with items: ['0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313', '0090017100_27022023007313']
