dataset: C
instance: BY3
+-----------+
2D Packing Heuristic in Truck P090067501
Min2DVol: 31.308359999999986 [m2]
Stack 0 with items: ['0090016900_28022023005856', '0090016900_28022023005856']
Stack 1 with items: ['0090016900_28022023003209', '0090016900_28022023003209']
Stack 2 with items: ['0090016900_28022023003209', '0090016900_28022023003209']
Stack 3 with items: ['0090016900_28022023021906', '0090016900_28022023005856']
Stack 4 with items: ['0090016900_28022023005856', '0090016900_28022023021906']
Stack 5 with items: ['0090016900_28022023021906', '0090016900_28022023021906']
Stack 6 with items: ['0090016900_28022023027558', '0090016900_28022023027558', '0090016900_28022023027558']
Stack 7 with items: ['0090016900_28022023021263', '0090016900_28022023021263', '0090016900_28022023021263']
Stack 8 with items: ['0090016900_28022023021263', '0090016900_28022023021263', '0090016900_28022023021263']
Stack 9 with items: ['0090016900_28022023021263', '0090016900_28022023021263', '0090016900_28022023021263']
Stack 10 with items: ['0090016900_28022023021263', '0090016900_28022023021263', '0090016900_28022023021263']
Stack 11 with items: ['0090016900_28022023021263', '0090016900_28022023021263', '0090016900_28022023021263']
Stack 12 with items: ['0090016900_28022023021263', '0090016900_28022023021263', '0090016900_28022023021263']
Stack 13 with items: ['0090016900_28022023021263', '0090016900_28022023021263', '0090016900_28022023021263']
Stack 14 with items: ['0090016900_28022023021263', '0090016900_28022023021263', '0090016900_28022023021263']
Stack 15 with items: ['0090016900_28022023021263', '0090016900_28022023021263', '0090016900_28022023021263']
Stack 16 with items: ['0090016900_28022023012301', '0090016900_28022023012301', '0090016900_28022023012301']
Stack 17 with items: ['0090016900_28022023012301', '0090016900_28022023012301', '0090016900_28022023012301']
Stack 18 with items: ['0090016900_28022023012301', '0090016900_28022023012301', '0090016900_28022023012301']
Stack 19 with items: ['0090016900_28022023012301', '0090016900_28022023012301', '0090016900_28022023012301']
Stack 20 with items: ['0090016900_28022023012301', '0090016900_28022023012301', '0090016900_28022023012301']
Stack 21 with items: ['0090016900_28022023012301', '0090016900_28022023012301', '0090016900_28022023012301']
Stack 22 with items: ['0090016900_28022023012301', '0090016900_28022023012301', '0090016900_28022023012301']
Stack 23 with items: ['0090016900_28022023012301', '0090016900_28022023012301', '0090016900_28022023012301']
Stack 24 with items: ['0090016900_28022023012301', '0090016900_28022023012301', '0090016900_28022023012301']
Stack 25 with items: ['0090016900_28022023007665', '0090016900_28022023007665', '0090016900_28022023007665']
Heuristic packed all stacks
