dataset: X
instance: MA2
+-----------+
2D Packing Heuristic in Truck P206037303
Min2DVol: 25.019820000000006 [m2]
Stack 0 with items: ['0090016200_08062023014614', '0090016200_08062023014614']
Stack 1 with items: ['0090016200_08062023012714', '0090016200_08062023012714']
Stack 2 with items: ['0090016200_08062023012714', '0090016200_08062023012714']
Stack 3 with items: ['0090016200_08062023001131', '0090016200_08062023017436']
Stack 4 with items: ['0090016200_08062023014614', '0090016200_08062023012714']
Stack 5 with items: ['0090016200_08062023014614', '0090016200_08062023014614']
Stack 6 with items: ['0090016200_08062023002823', '0090016200_08062023002823', '0090016200_08062023002823']
Stack 7 with items: ['0090016200_08062023002823']
Stack 8 with items: ['0090016200_08062023004870', '0090016200_08062023004870', '0090016200_08062023004870', '0090016200_08062023004870']
Stack 9 with items: ['0090016200_08062023003564', '0090016200_08062023003564', '0090016200_08062023003564', '0090016200_08062023003564']
Stack 10 with items: ['0090016200_08062023003564', '0090016200_08062023003564', '0090016200_08062023003564', '0090016200_08062023003564']
Stack 11 with items: ['0090016200_08062023003564', '0090016200_08062023004870', '0090016200_08062023019228', '0090016200_08062023034640']
Stack 12 with items: ['0090016200_08062023034640', '0090016200_08062023034640', '0090016200_08062023034640', '0090016200_08062023034640']
Stack 13 with items: ['0090016200_08062023004870', '0090016200_08062023003564', '0090016200_08062023004870', '0090016200_08062023004870']
Stack 14 with items: ['0090016200_08062023019228', '0090016200_08062023019228', '0090016200_08062023019228', '0090016200_08062023019228']
Stack 15 with items: ['0090016200_08062023004870', '0090016200_08062023004870', '0090016200_08062023004870', '0090016200_08062023004870']
Stack 16 with items: ['0090016200_08062023003564', '0090016200_08062023003564', '0090016200_08062023004870', '0090016200_08062023004870']
Stack 17 with items: ['0090016200_08062023003564', '0090016200_08062023003564']
Stack 18 with items: ['0090016200_08062023034273', '0090016200_08062023023924', '0090016200_08062023023924', '0090016200_08062023023924']
Stack 19 with items: ['0090016200_08062023023924', '0090016200_08062023023924', '0090016200_08062023023924', '0090016200_08062023023924']
Stack 20 with items: ['0090016200_08062023023924', '0090016200_08062023023924', '0090016200_08062023023924', '0090016200_08062023023924']
Stack 21 with items: ['0090016200_08062023023924', '0090016200_08062023023924', '0090016200_08062023023924', '0090016200_08062023023924']
Stack 22 with items: ['0090016200_08062023021735', '0090016200_08062023021735', '0090016200_08062023021735', '0090016200_08062023021735']
Stack 23 with items: ['0090016200_08062023021735', '0090016200_08062023021735', '0090016200_08062023021735', '0090016200_08062023021735']
Stack 24 with items: ['0090016200_08062023021735', '0090016200_08062023021735', '0090016200_08062023021735', '0090016200_08062023021735']
Stack 25 with items: ['0090016200_08062023021735', '0090016200_08062023021735', '0090016200_08062023021735', '0090016200_08062023021735']
Stack 26 with items: ['0090016200_08062023019198', '0090016200_08062023017107', '0090016200_08062023017107', '0090016200_08062023017107']
Stack 27 with items: ['0090016200_08062023017107', '0090016200_08062023016842', '0090016200_08062023016842', '0090016200_08062023016842']
Stack 28 with items: ['0090016200_08062023016842', '0090016200_08062023010161', '0090016200_08062023012047', '0090016200_08062023010161']
Stack 29 with items: ['0090016200_08062023010161', '0090016200_08062023009495', '0090016200_08062023009495', '0090016200_08062023010161']
Stack 30 with items: ['0090016200_08062023009495', '0090016200_08062023009495', '0090016200_08062023009495', '0090016200_08062023009495']
Stack 31 with items: ['0090016200_08062023009495', '0090016200_08062023009495', '0090016200_08062023009495', '0090016200_08062023009495']
Stack 32 with items: ['0090016200_08062023009495', '0090016200_08062023008745', '0090016200_08062023008745', '0090016200_08062023009495']
Stack 33 with items: ['0090016200_08062023008745', '0090016200_08062023007463', '0090016200_08062023007463', '0090016200_08062023008745']
Stack 34 with items: ['0090016200_08062023007463', '0090016200_08062023005919', '0090016200_08062023005919', '0090016200_08062023005919']
Stack 35 with items: ['0090016200_08062023005919', '0090016200_08062023005017', '0090016200_08062023005017', '0090016200_08062023005017']
Stack 36 with items: ['0090016200_08062023005017', '0090016200_08062023005017', '0090016200_08062023005017', '0090016200_08062023005017']
Stack 37 with items: ['0090016200_08062023010120', '0090016200_08062023010120', '0090016200_08062023010120', '0090016200_08062023010947']
Stack 38 with items: ['0090016200_08062023023754', '0090016200_08062023023431']
Heuristic packed all stacks
