dataset: C
instance: MT3
+-----------+
2D Packing Heuristic in Truck P089358201
Min2DVol: 32.90399999999998 [m2]
Stack 0 with items: ['0091017700_28022023000676', '0091017700_28022023000676', '0091017700_28022023000676']
Stack 1 with items: ['0091017700_28022023000676', '0091017700_28022023000676', '0091017700_28022023000676']
Stack 2 with items: ['0091017700_28022023000676', '0091017700_28022023000676', '0091017700_28022023000676']
Stack 3 with items: ['0091017700_28022023000676', '0091017700_28022023000676', '0091017700_28022023000676']
Stack 4 with items: ['0091017700_28022023000676', '0091017700_28022023000676', '0091017700_28022023000676']
Stack 5 with items: ['0091017700_28022023003239', '0091017700_28022023003239']
Stack 6 with items: ['0091017700_28022023003239', '0091017700_28022023003239']
Stack 7 with items: ['0091017700_28022023003239', '0091017700_28022023003239']
Stack 8 with items: ['0091017700_28022023003239', '0091017700_28022023003239']
Stack 9 with items: ['0091017700_28022023003239', '0091017700_28022023003239']
Stack 10 with items: ['0091017700_28022023003239', '0091017700_28022023003239']
Stack 11 with items: ['0091017700_28022023003239', '0091017700_28022023003239']
Stack 12 with items: ['0091017700_28022023003239', '0091017700_28022023001995']
Stack 13 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 14 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 15 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 16 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 17 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 18 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 19 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 20 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 21 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 22 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 23 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stack 24 with items: ['0091017700_28022023001995', '0091017700_28022023001995']
Stacks not packed:
Stack 24 missing: ['0091017700_28022023001995', '0091017700_28022023001995']
