dataset: C
instance: TA3
+-----------+
2D Packing Heuristic in Truck P098381901
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090038300_28022023015774', '0090038300_28022023013447', '0090038300_28022023015774']
Stack 1 with items: ['0090038300_28022023013447', '0090038300_28022023013447', '0090038300_28022023013447']
Stack 2 with items: ['0090038300_28022023013447', '0090038300_28022023013447', '0090038300_28022023013447']
Stack 3 with items: ['0090038300_28022023013447', '0090038300_28022023013447', '0090038300_28022023013447']
Stack 4 with items: ['0090038300_28022023013447', '0090038300_28022023009788', '0090038300_28022023013447']
Stack 5 with items: ['0090038300_28022023031130', '0090038300_28022023031056', '0090038300_28022023031056', '0090038300_28022023031056']
Stack 6 with items: ['0090038300_28022023022068', '0090038300_28022023022068', '0090038300_28022023022068', '0090038300_28022023022068']
Stack 7 with items: ['0090038300_28022023021694', '0090038300_28022023020488', '0090038300_28022023020488', '0090038300_28022023020488']
Stack 8 with items: ['0090038300_28022023020488', '0090038300_28022023020488', '0090038300_28022023020488', '0090038300_28022023020488']
Stack 9 with items: ['0090038300_28022023020488', '0090038300_28022023020488', '0090038300_28022023020488', '0090038300_28022023020488']
Stack 10 with items: ['0090038300_28022023020488', '0090038300_28022023020488', '0090038300_28022023020488', '0090038300_28022023020488']
Stack 11 with items: ['0090038300_28022023020488', '0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020488']
Stack 12 with items: ['0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140']
Stack 13 with items: ['0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140']
Stack 14 with items: ['0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140']
Stack 15 with items: ['0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140']
Stack 16 with items: ['0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140']
Stack 17 with items: ['0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140']
Stack 18 with items: ['0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140', '0090038300_28022023020140']
Stack 19 with items: ['0090038300_28022023020140', '0090038300_28022023019385', '0090038300_28022023018594', '0090038300_28022023020140']
Stack 20 with items: ['0090038300_28022023018594', '0090038300_28022023018594', '0090038300_28022023018594', '0090038300_28022023018594']
Stack 21 with items: ['0090038300_28022023018594', '0090038300_28022023017924', '0090038300_28022023018594', '0090038300_28022023018594']
Stack 22 with items: ['0090038300_28022023017924', '0090038300_28022023014942', '0090038300_28022023014942', '0090038300_28022023010167']
Stack 23 with items: ['0090038300_28022023010167', '0090038300_28022023010167', '0090038300_28022023010167', '0090038300_28022023010167']
Stack 24 with items: ['0090038300_28022023010167', '0090038300_28022023010167', '0090038300_28022023010167', '0090038300_28022023010167']
Stack 25 with items: ['0090038300_28022023010167', '0090038300_28022023006026', '0090038300_28022023010094', '0090038300_28022023006026']
Heuristic packed all stacks
