dataset: X
instance: AS6
+-----------+
2D Packing Heuristic in Truck P219730801
Min2DVol: 36.480000000000004 [m2]
Stack 0 with items: ['0090018000_14062023002016', '0090018000_14062023002016', '0090018000_14062023002016']
Stack 1 with items: ['0090018000_14062023001425', '0090018000_14062023001425', '0090018000_14062023001425']
Stack 2 with items: ['0090018000_14062023005102', '0090018000_14062023005102', '0090018000_14062023005102']
Stack 3 with items: ['0090018000_14062023010740', '0090018000_14062023010740']
Stack 4 with items: ['0090018000_14062023010740', '0090018000_14062023010740']
Stack 5 with items: ['0090018000_14062023010740', '0090018000_14062023010740']
Stack 6 with items: ['0090018000_14062023010740', '0090018000_14062023010740']
Stack 7 with items: ['0090018000_14062023010740', '0090018000_14062023010740']
Stack 8 with items: ['0090018000_14062023010522', '0090018000_14062023010522']
Stack 9 with items: ['0090018000_14062023010522', '0090018000_14062023010522']
Stack 10 with items: ['0090018000_14062023010522', '0090018000_14062023010522']
Stack 11 with items: ['0090018000_14062023010522', '0090018000_14062023010522']
Stack 12 with items: ['0090018000_14062023010522', '0090018000_14062023010522']
Stack 13 with items: ['0090018000_14062023010522', '0090018000_14062023010522']
Stack 14 with items: ['0090018000_14062023010522', '0090018000_14062023010522']
Stacks not packed:
Stack 11 missing: ['0090018000_14062023010522', '0090018000_14062023010522']
Stack 12 missing: ['0090018000_14062023010522', '0090018000_14062023010522']
Stack 13 missing: ['0090018000_14062023010522', '0090018000_14062023010522']
Stack 14 missing: ['0090018000_14062023010522', '0090018000_14062023010522']
