dataset: B
instance: FL
+-----------+
2D Packing Heuristic in Truck P322171005
Min2DVol: 28.080000000000005 [m2]
Stack 0 with items: ['0090015100_26102022005071', '0090015100_26102022005071', '0090015100_26102022005071']
Stack 1 with items: ['0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137']
Stack 2 with items: ['0090015100_26102022008137', '0090015100_26102022006047', '0090015100_26102022006047', '0090015100_26102022008137', '0090015100_26102022008137']
Stack 3 with items: ['0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137']
Stack 4 with items: ['0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137']
Stack 5 with items: ['0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137']
Stack 6 with items: ['0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137']
Stack 7 with items: ['0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137']
Stack 8 with items: ['0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137']
Stack 9 with items: ['0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137']
Stack 10 with items: ['0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137', '0090015100_26102022008137']
Heuristic packed all stacks
