dataset: B
instance: BY
+-----------+
2D Packing Heuristic in Truck P311060801
Min2DVol: 19.544040000000003 [m2]
Stack 0 with items: ['0090016900_26102022007131', '0090016900_26102022006283', '0090016900_26102022000269']
Stack 1 with items: ['0090016900_26102022012240', '0090016900_26102022011318']
Stack 2 with items: ['0090016900_26102022008550', '0090016900_26102022008550']
Stack 3 with items: ['0090016900_26102022007470', '0090016900_26102022001473']
Stack 4 with items: ['0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719']
Stack 5 with items: ['0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719']
Stack 6 with items: ['0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719']
Stack 7 with items: ['0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719']
Stack 8 with items: ['0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719']
Stack 9 with items: ['0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719']
Stack 10 with items: ['0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719']
Stack 11 with items: ['0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719', '0090016900_26102022011719']
Stack 12 with items: ['0090016900_26102022011719', '0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022011719']
Stack 13 with items: ['0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156']
Stack 14 with items: ['0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156']
Stack 15 with items: ['0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156']
Stack 16 with items: ['0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156']
Stack 17 with items: ['0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156']
Stack 18 with items: ['0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156']
Stack 19 with items: ['0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156', '0090016900_26102022004156']
Stack 20 with items: ['0090016900_26102022004156', '0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022004156']
Stack 21 with items: ['0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791']
Stack 22 with items: ['0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791']
Stack 23 with items: ['0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791']
Stack 24 with items: ['0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791']
Stack 25 with items: ['0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791']
Stack 26 with items: ['0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791']
Stack 27 with items: ['0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791', '0090016900_26102022003791']
Stack 28 with items: ['0090016900_26102022003791', '0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022003791']
Stack 29 with items: ['0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770']
Stack 30 with items: ['0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770']
Stack 31 with items: ['0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770']
Stack 32 with items: ['0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770']
Stack 33 with items: ['0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770']
Stack 34 with items: ['0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770']
Stack 35 with items: ['0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770']
Stack 36 with items: ['0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770', '0090016900_26102022001770']
Heuristic packed all stacks
