dataset: X
instance: MA6
+-----------+
2D Packing Heuristic in Truck P229131103
Min2DVol: 31.326419999999985 [m2]
Stack 0 with items: ['0090016200_14062023034537', '0090016200_14062023025346', '0090016200_14062023029277', '0090016200_14062023030170', '0090016200_14062023031793', '0090016200_14062023022531']
Stack 1 with items: ['0090016200_14062023019960', '0090016200_14062023018578']
Stack 2 with items: ['0090016200_14062023018578', '0090016200_14062023013965', '0090016200_14062023018104', '0090016200_14062023001458']
Stack 3 with items: ['0090016200_14062023015849', '0090016200_14062023015544']
Stack 4 with items: ['0090016200_14062023014148', '0090016200_14062023002268']
Stack 5 with items: ['0090016200_14062023006439', '0090016200_14062023006279']
Stack 6 with items: ['0090016200_14062023001414', '0090016200_14062023000137']
Stack 7 with items: ['0090016200_14062023005363', '0090016200_14062023000810', '0090016200_14062023005363']
Stack 8 with items: ['0090016200_14062023005363', '0090016200_14062023000810', '0090016200_14062023005363']
Stack 9 with items: ['0090016200_14062023000810', '0090016200_14062023005363', '0090016200_14062023005363']
Stack 10 with items: ['0090016200_14062023000810', '0090016200_14062023000810', '0090016200_14062023005363']
Stack 11 with items: ['0090016200_14062023000810', '0090016200_14062023000810', '0090016200_14062023005363']
Stack 12 with items: ['0090016200_14062023000810', '0090016200_14062023000810', '0090016200_14062023000810']
Stack 13 with items: ['0090016200_14062023000810', '0090016200_14062023005363', '0090016200_14062023025303']
Stack 14 with items: ['0090016200_14062023005363', '0090016200_14062023005363', '0090016200_14062023005363']
Stack 15 with items: ['0090016200_14062023000810', '0090016200_14062023000810', '0090016200_14062023000810']
Stack 16 with items: ['0090016200_14062023000810', '0090016200_14062023000810', '0090016200_14062023000810']
Stack 17 with items: ['0090016200_14062023000810', '0090016200_14062023000810', '0090016200_14062023000810']
Stack 18 with items: ['0090016200_14062023005363', '0090016200_14062023005363', '0090016200_14062023005363']
Stack 19 with items: ['0090016200_14062023000810', '0090016200_14062023000810', '0090016200_14062023000810']
Stack 20 with items: ['0090016200_14062023025303', '0090016200_14062023000810', '0090016200_14062023000810']
Stack 21 with items: ['0090016200_14062023005363', '0090016200_14062023005363', '0090016200_14062023025303']
Stack 22 with items: ['0090016200_14062023000810', '0090016200_14062023000810', '0090016200_14062023000810']
Stack 23 with items: ['0090016200_14062023000810', '0090016200_14062023000810', '0090016200_14062023000810']
Stack 24 with items: ['0090016200_14062023005363', '0090016200_14062023005363', '0090016200_14062023005363']
Stack 25 with items: ['0090016200_14062023000810', '0090016200_14062023018064', '0090016200_14062023018064']
Heuristic packed all stacks
