dataset: C
instance: MA
+-----------+
2D Packing Heuristic in Truck P081036801
Min2DVol: 32.33522700000001 [m2]
Stack 0 with items: ['0090016200_27022023009465', '0090016200_27022023001945']
Stack 1 with items: ['0090016200_27022023035531', '0090016200_27022023031656', '0090016200_27022023029901']
Stack 2 with items: ['0090016200_27022023029901', '0090016200_27022023029901', '0090016200_27022023029901']
Stack 3 with items: ['0090016200_27022023029901', '0090016200_27022023029901', '0090016200_27022023029901']
Stack 4 with items: ['0090016200_27022023029901', '0090016200_27022023029901', '0090016200_27022023029901']
Stack 5 with items: ['0090016200_27022023029901', '0090016200_27022023027561', '0090016200_27022023029901']
Stack 6 with items: ['0090016200_27022023025036', '0090016200_27022023025036', '0090016200_27022023025036']
Stack 7 with items: ['0090016200_27022023025036', '0090016200_27022023025036', '0090016200_27022023025036']
Stack 8 with items: ['0090016200_27022023025036', '0090016200_27022023024639', '0090016200_27022023021247']
Stack 9 with items: ['0090016200_27022023016183', '0090016200_27022023015282', '0090016200_27022023009420']
Stack 10 with items: ['0090016200_27022023026536', '0090016200_27022023026536', '0090016200_27022023026536']
Stack 11 with items: ['0090016200_27022023026536', '0090016200_27022023034454', '0090016200_27022023036459']
Stack 12 with items: ['0090016200_27022023035372', '0090016200_27022023020467', '0090016200_27022023010507']
Stack 13 with items: ['0090016200_27022023035372', '0090016200_27022023034454', '0090016200_27022023026536']
Stack 14 with items: ['0090016200_27022023020467', '0090016200_27022023035372', '0090016200_27022023035372']
Stack 15 with items: ['0090016200_27022023034454', '0090016200_27022023034454', '0090016200_27022023036459']
Stack 16 with items: ['0090016200_27022023034454', '0090016200_27022023013493', '0090016200_27022023035372']
Stack 17 with items: ['0090016200_27022023034454', '0090016200_27022023034454', '0090016200_27022023034454']
Stack 18 with items: ['0090016200_27022023011306', '0090016200_27022023011306', '0090016200_27022023011306']
Stack 19 with items: ['0090016200_27022023036120', '0090016200_27022023036120', '0090016200_27022023036120']
Stack 20 with items: ['0090016200_27022023036120', '0090016200_27022023011306', '0090016200_27022023011306']
Stack 21 with items: ['0090016200_27022023011306', '0090016200_27022023036120', '0090016200_27022023036120']
Heuristic packed all stacks
