dataset: X
instance: SA
+-----------+
2D Packing Heuristic in Truck P192051401
Min2DVol: 33.450300000000006 [m2]
Stack 0 with items: ['0090017100_08062023021706', '0090017100_08062023011447', '0090017100_08062023002857']
Stack 1 with items: ['0090017100_08062023008345', '0090017100_08062023006291']
Stack 2 with items: ['0090017100_08062023005280', '0090017100_08062023004234']
Stack 3 with items: ['0090017100_08062023002861', '0090017100_08062023002044']
Stack 4 with items: ['0090017100_08062023002044', '0090017100_08062023000951']
Stack 5 with items: ['0090017100_08062023002355', '0090017100_08062023017317']
Stack 6 with items: ['0090017100_08062023017317', '0090017100_08062023017317']
Stack 7 with items: ['0090017100_08062023017317', '0090017100_08062023017317']
Stack 8 with items: ['0090017100_08062023017317', '0090017100_08062023017317']
Stack 9 with items: ['0090017100_08062023017317', '0090017100_08062023011676']
Stack 10 with items: ['0090017100_08062023017317', '0090017100_08062023017317']
Stack 11 with items: ['0090017100_08062023011676', '0090017100_08062023011676']
Stack 12 with items: ['0090017100_08062023017317', '0090017100_08062023011676']
Stack 13 with items: ['0090017100_08062023011676', '0090017100_08062023011676']
Stack 14 with items: ['0090017100_08062023011676', '0090017100_08062023017317']
Stack 15 with items: ['0090017100_08062023011676', '0090017100_08062023011676']
Stack 16 with items: ['0090017100_08062023011676', '0090017100_08062023011676']
Stacks not packed:
Stack 2 missing: ['0090017100_08062023005280', '0090017100_08062023004234']
