dataset: C
instance: PA3
+-----------+
2D Packing Heuristic in Truck P082521101
Min2DVol: 25.272240000000004 [m2]
Stack 0 with items: ['0091017200_28022023004308', '0091017200_28022023002031', '0091017200_28022023016138', '0091017200_28022023018579']
Stack 1 with items: ['0091017200_28022023033123', '0091017200_28022023028432', '0091017200_28022023028432', '0091017200_28022023033123']
Stack 2 with items: ['0091017200_28022023033123', '0091017200_28022023028432', '0091017200_28022023025750', '0091017200_28022023033123']
Stack 3 with items: ['0091017200_28022023031163', '0091017200_28022023003454', '0091017200_28022023022223', '0091017200_28022023025750', '0091017200_28022023002537']
Stack 4 with items: ['0091017200_28022023007829', '0091017200_28022023007025', '0091017200_28022023002537']
Stack 5 with items: ['0091017200_28022023003287', '0091017200_28022023003287', '0091017200_28022023023884']
Stack 6 with items: ['0091017200_28022023003763', '0091017200_28022023003763', '0091017200_28022023003763']
Stack 7 with items: ['0091017200_28022023032528', '0091017200_28022023032528', '0091017200_28022023032528']
Stack 8 with items: ['0091017200_28022023023884', '0091017200_28022023003287', '0091017200_28022023003287']
Stack 9 with items: ['0091017200_28022023003763', '0091017200_28022023003763', '0091017200_28022023011593']
Stack 10 with items: ['0091017200_28022023003763', '0091017200_28022023003763', '0091017200_28022023003763']
Stack 11 with items: ['0091017200_28022023023884', '0091017200_28022023023595', '0091017200_28022023003287']
Stack 12 with items: ['0091017200_28022023003763', '0091017200_28022023003287', '0091017200_28022023003287']
Stack 13 with items: ['0091017200_28022023023595', '0091017200_28022023023595', '0091017200_28022023032528']
Stack 14 with items: ['0091017200_28022023003763', '0091017200_28022023003763', '0091017200_28022023003763']
Heuristic packed all stacks
