dataset: C
instance: AS2
+-----------+
2D Packing Heuristic in Truck P067730801
Min2DVol: 37.2 [m2]
Stack 0 with items: ['0090018000_28022023001975', '0090018000_28022023001975']
Stack 1 with items: ['0090018000_28022023001975', '0090018000_28022023001975']
Stack 2 with items: ['0090018000_28022023001975', '0090018000_28022023001975']
Stack 3 with items: ['0090018000_28022023001975', '0090018000_28022023001975']
Stack 4 with items: ['0090018000_28022023014786', '0090018000_28022023014786', '0090018000_28022023014786']
Stack 5 with items: ['0090018000_28022023014786', '0090018000_28022023014112', '0090018000_28022023014786']
Stack 6 with items: ['0090018000_28022023014112', '0090018000_28022023014112', '0090018000_28022023014112']
Stack 7 with items: ['0090018000_28022023009619', '0090018000_28022023005146', '0090018000_28022023005146']
Stack 8 with items: ['0090018000_28022023005146', '0090018000_28022023005146', '0090018000_28022023005146']
Stack 9 with items: ['0090018000_28022023005146', '0090018000_28022023005146', '0090018000_28022023005146']
Stack 10 with items: ['0090018000_28022023005146', '0090018000_28022023005146', '0090018000_28022023005146']
Stack 11 with items: ['0090018000_28022023005146', '0090018000_28022023005146', '0090018000_28022023005146']
Stack 12 with items: ['0090018000_28022023005146', '0090018000_28022023005146', '0090018000_28022023005146']
Stack 13 with items: ['0090018000_28022023005146', '0090018000_28022023005146', '0090018000_28022023005146']
Stack 14 with items: ['0090018000_28022023011481', '0090018000_28022023011481', '0090018000_28022023012587']
Stack 15 with items: ['0090018000_28022023011962', '0090018000_28022023011962', '0090018000_28022023012587']
Stack 16 with items: ['0090018000_28022023011737', '0090018000_28022023006624', '0090018000_28022023011737']
Stack 17 with items: ['0090018000_28022023010031', '0090018000_28022023010031', '0090018000_28022023010031']
Stack 18 with items: ['0090018000_28022023007707', '0090018000_28022023010031', '0090018000_28022023010699']
Stacks not packed:
Stack 5 missing: ['0090018000_28022023014786', '0090018000_28022023014112', '0090018000_28022023014786']
Stack 6 missing: ['0090018000_28022023014112', '0090018000_28022023014112', '0090018000_28022023014112']
Stack 16 missing: ['0090018000_28022023011737', '0090018000_28022023006624', '0090018000_28022023011737']
