dataset: B
instance: CI2
+-----------+
2D Packing Heuristic in Truck P339439403
Min2DVol: 32.49029999999999 [m2]
Stack 0 with items: ['0090016800_26102022000187', '0090016800_26102022014604']
Stack 1 with items: ['0090016800_26102022007252', '0090016800_26102022000187']
Stack 2 with items: ['0090016800_26102022013669', '0090016800_26102022015623']
Stack 3 with items: ['0090016800_26102022013425']
Stack 4 with items: ['0090016800_26102022002410', '0090016800_26102022004767']
Stack 5 with items: ['0090016800_26102022014889', '0090016800_26102022014889', '0090016800_26102022014889']
Stack 6 with items: ['0090016800_26102022014889', '0090016800_26102022014889', '0090016800_26102022014889']
Stack 7 with items: ['0090016800_26102022014889', '0090016800_26102022014889', '0090016800_26102022014889']
Stack 8 with items: ['0090016800_26102022014889', '0090016800_26102022014889', '0090016800_26102022014889']
Stack 9 with items: ['0090016800_26102022014889', '0090016800_26102022014889', '0090016800_26102022014889']
Stack 10 with items: ['0090016800_26102022014889', '0090016800_26102022014889', '0090016800_26102022014889']
Stack 11 with items: ['0090016800_26102022014889', '0090016800_26102022014889', '0090016800_26102022014889']
Stack 12 with items: ['0090016800_26102022014889', '0090016800_26102022012371', '0090016800_26102022012371']
Stack 13 with items: ['0090016800_26102022013319', '0090016800_26102022012403', '0090016800_26102022012403']
Stack 14 with items: ['0090016800_26102022012403', '0090016800_26102022010186', '0090016800_26102022010186']
Stack 15 with items: ['0090016800_26102022012371', '0090016800_26102022012371', '0090016800_26102022012371']
Stack 16 with items: ['0090016800_26102022012371', '0090016800_26102022012371', '0090016800_26102022012371']
Stack 17 with items: ['0090016800_26102022012371', '0090016800_26102022012371', '0090016800_26102022012371']
Stack 18 with items: ['0090016800_26102022012371', '0090016800_26102022009075', '0090016800_26102022009075']
Stack 19 with items: ['0090016800_26102022009075', '0090016800_26102022004589', '0090016800_26102022004589']
Stack 20 with items: ['0090016800_26102022004589', '0090016800_26102022004589', '0090016800_26102022004589']
Stack 21 with items: ['0090016800_26102022004589', '0090016800_26102022004589', '0090016800_26102022004589']
Stack 22 with items: ['0090016800_26102022004589', '0090016800_26102022004589', '0090016800_26102022004589']
Stack 23 with items: ['0090016800_26102022004589', '0090016800_26102022004589', '0090016800_26102022004589']
Stack 24 with items: ['0090016800_26102022004589', '0090016800_26102022004589', '0090016800_26102022004589']
Stack 25 with items: ['0090016800_26102022004589', '0090016800_26102022004589', '0090016800_26102022004589']
Stack 26 with items: ['0090016800_26102022004589', '0090016800_26102022004589', '0090016800_26102022004589']
Stacks not packed:
Stack 17 missing: ['0090016800_26102022012371', '0090016800_26102022012371', '0090016800_26102022012371']
