dataset: X
instance: BY6
+-----------+
2D Packing Heuristic in Truck P193161409
Min2DVol: 32.39999999999999 [m2]
Stack 0 with items: ['0090016900_14062023040012', '0090016900_14062023005631', '0090016900_14062023005631', '0090016900_14062023005631']
Stack 1 with items: ['0090016900_14062023028902', '0090016900_14062023028902', '0090016900_14062023028902']
Stack 2 with items: ['0090016900_14062023040541', '0090016900_14062023039211', '0090016900_14062023037352']
Stack 3 with items: ['0090016900_14062023037352', '0090016900_14062023036008', '0090016900_14062023036008']
Stack 4 with items: ['0090016900_14062023027128', '0090016900_14062023023995', '0090016900_14062023020554']
Stack 5 with items: ['0090016900_14062023020536', '0090016900_14062023011629', '0090016900_14062023009981']
Stack 6 with items: ['0090016900_14062023033201', '0090016900_14062023033201', '0090016900_14062023033201']
Stack 7 with items: ['0090016900_14062023018258', '0090016900_14062023033201', '0090016900_14062023033201']
Stack 8 with items: ['0090016900_14062023033201', '0090016900_14062023018258', '0090016900_14062023033201']
Stack 9 with items: ['0090016900_14062023018258', '0090016900_14062023039143', '0090016900_14062023039143']
Stack 10 with items: ['0090016900_14062023033201', '0090016900_14062023033201', '0090016900_14062023039143']
Stack 11 with items: ['0090016900_14062023033201', '0090016900_14062023033201', '0090016900_14062023033201']
Stack 12 with items: ['0090016900_14062023033201', '0090016900_14062023033201', '0090016900_14062023033201']
Stack 13 with items: ['0090016900_14062023039143', '0090016900_14062023033201', '0090016900_14062023039143']
Stacks not packed:
Stack 5 missing: ['0090016900_14062023020536', '0090016900_14062023011629', '0090016900_14062023009981']
