dataset: C
instance: MA3
+-----------+
2D Packing Heuristic in Truck P075038105
Min2DVol: 29.80799999999999 [m2]
Stack 0 with items: ['0090016200_28022023020623', '0090016200_28022023020623']
Stack 1 with items: ['0090016200_28022023000136', '0090016200_28022023000136']
Stack 2 with items: ['0090016200_28022023022747', '0090016200_28022023022747', '0090016200_28022023022747']
Stack 3 with items: ['0090016200_28022023022747', '0090016200_28022023022747', '0090016200_28022023022747']
Stack 4 with items: ['0090016200_28022023020766', '0090016200_28022023020766', '0090016200_28022023020766']
Stack 5 with items: ['0090016200_28022023020766', '0090016200_28022023020766', '0090016200_28022023020766']
Stack 6 with items: ['0090016200_28022023013986', '0090016200_28022023013986', '0090016200_28022023013986']
Stack 7 with items: ['0090016200_28022023012397', '0090016200_28022023012397', '0090016200_28022023012397']
Stack 8 with items: ['0090016200_28022023012397', '0090016200_28022023012397', '0090016200_28022023012397']
Stack 9 with items: ['0090016200_28022023011274', '0090016200_28022023011274', '0090016200_28022023011274']
Stack 10 with items: ['0090016200_28022023011274', '0090016200_28022023004340', '0090016200_28022023011274']
Stack 11 with items: ['0090016200_28022023004340', '0090016200_28022023003540', '0090016200_28022023003540']
Stack 12 with items: ['0090016200_28022023003838', '0090016200_28022023003838', '0090016200_28022023003838']
Stack 13 with items: ['0090016200_28022023003838', '0090016200_28022023003838', '0090016200_28022023003838']
Stack 14 with items: ['0090016200_28022023003838', '0090016200_28022023003838', '0090016200_28022023003838']
Stack 15 with items: ['0090016200_28022023003838', '0090016200_28022023003838', '0090016200_28022023003838']
Stack 16 with items: ['0090016200_28022023003838', '0090016200_28022023003838', '0090016200_28022023003838']
Stack 17 with items: ['0090016200_28022023003838', '0090016200_28022023003838', '0090016200_28022023003838']
Stack 18 with items: ['0090016200_28022023003838', '0090016200_28022023003838', '0090016200_28022023003838']
Stack 19 with items: ['0090016200_28022023003540', '0090016200_28022023003540', '0090016200_28022023003540']
Stack 20 with items: ['0090016200_28022023003540', '0090016200_28022023003540', '0090016200_28022023003540']
Stack 21 with items: ['0090016200_28022023003540', '0090016200_28022023003540', '0090016200_28022023003540']
Stack 22 with items: ['0090016200_28022023001874', '0090016200_28022023001414', '0090016200_28022023001414']
Heuristic packed all stacks
