dataset: C
instance: AS
+-----------+
2D Packing Heuristic in Truck P103730401
Min2DVol: 36.000000000000014 [m2]
Stack 0 with items: ['0090018000_27022023008341', '0090018000_27022023015704']
Stack 1 with items: ['0090018000_27022023015404', '0090018000_27022023004669', '0090018000_27022023001052']
Stack 2 with items: ['0090018000_27022023014599', '0090018000_27022023008466', '0090018000_27022023008466']
Stack 3 with items: ['0090018000_27022023008466', '0090018000_27022023008466', '0090018000_27022023008466']
Stack 4 with items: ['0090018000_27022023007205', '0090018000_27022023007205', '0090018000_27022023007205']
Stack 5 with items: ['0090018000_27022023007205', '0090018000_27022023007205', '0090018000_27022023007205']
Stack 6 with items: ['0090018000_27022023007205', '0090018000_27022023007205', '0090018000_27022023007205']
Stack 7 with items: ['0090018000_27022023007205', '0090018000_27022023006921', '0090018000_27022023006921']
Stack 8 with items: ['0090018000_27022023006921', '0090018000_27022023006921', '0090018000_27022023006921']
Stack 9 with items: ['0090018000_27022023006921', '0090018000_27022023004364', '0090018000_27022023004364']
Stack 10 with items: ['0090018000_27022023004364', '0090018000_27022023004364', '0090018000_27022023004364']
Stack 11 with items: ['0090018000_27022023004364', '0090018000_27022023004364', '0090018000_27022023004364']
Stack 12 with items: ['0090018000_27022023004364', '0090018000_27022023001747', '0090018000_27022023001747']
Stack 13 with items: ['0090018000_27022023001747', '0090018000_27022023001747', '0090018000_27022023001747']
Stack 14 with items: ['0090018000_27022023003293', '0090018000_27022023011391', '0090018000_27022023011391']
Stack 15 with items: ['0090018000_27022023011203', '0090018000_27022023011203', '0090018000_27022023011203']
Stack 16 with items: ['0090018000_27022023011203', '0090018000_27022023011203', '0090018000_27022023011203']
Stack 17 with items: ['0090018000_27022023003293', '0090018000_27022023003293', '0090018000_27022023003293']
Stack 18 with items: ['0090018000_27022023003293', '0090018000_27022023003293', '0090018000_27022023003293']
Stack 19 with items: ['0090018000_27022023003293', '0090018000_27022023003293', '0090018000_27022023003293']
Stack 20 with items: ['0090018000_27022023011203', '0090018000_27022023011203', '0090018000_27022023011203']
Stack 21 with items: ['0090018000_27022023011203', '0090018000_27022023011203', '0090018000_27022023011203']
Stack 22 with items: ['0090018000_27022023011391', '0090018000_27022023011391', '0090018000_27022023011391']
Stack 23 with items: ['0090018000_27022023011203', '0090018000_27022023011203', '0090018000_27022023011203']
Stacks not packed:
Stack 1 missing: ['0090018000_27022023015404', '0090018000_27022023004669', '0090018000_27022023001052']
