dataset: C
instance: TR
+-----------+
2D Packing Heuristic in Truck P073424605
Min2DVol: 28.16619200000001 [m2]
Stack 0 with items: ['0090017000_27022023006169', '0090017000_27022023006169']
Stack 1 with items: ['0090017000_27022023006356', '0090017000_27022023006169']
Stack 2 with items: ['0090017000_27022023006169', '0090017000_27022023006356']
Stack 3 with items: ['0090017000_27022023006356', '0090017000_27022023006356']
Stack 4 with items: ['0090017000_27022023006169', '0090017000_27022023006356']
Stack 5 with items: ['0090017000_27022023006356', '0090017000_27022023006356']
Stack 6 with items: ['0090017000_27022023006169', '0090017000_27022023006169']
Stack 7 with items: ['0090017000_27022023006356', '0090017000_27022023006169']
Stack 8 with items: ['0090017000_27022023006169', '0090017000_27022023006169']
Stack 9 with items: ['0090017000_27022023006169', '0090017000_27022023006169']
Stack 10 with items: ['0090017000_27022023024048', '0090017000_27022023021554']
Stack 11 with items: ['0090017000_27022023021554', '0090017000_27022023021554']
Stack 12 with items: ['0090017000_27022023021554', '0090017000_27022023021554']
Stack 13 with items: ['0090017000_27022023021554', '0090017000_27022023021554']
Stack 14 with items: ['0090017000_27022023021554', '0090017000_27022023021554']
Stack 15 with items: ['0090017000_27022023021554', '0090017000_27022023021554']
Stack 16 with items: ['0090017000_27022023021554', '0090017000_27022023021554']
Stack 17 with items: ['0090017000_27022023012207', '0090017000_27022023007384']
Heuristic packed all stacks
