dataset: X
instance: MA
+-----------+
2D Packing Heuristic in Truck P191038401
Min2DVol: 31.615380000000023 [m2]
Stack 0 with items: ['0090016200_08062023034335', '0090016200_08062023012489', '0090016200_08062023006869']
Stack 1 with items: ['0090016200_08062023006869', '0090016200_08062023006869', '0090016200_08062023006869']
Stack 2 with items: ['0090016200_08062023006869', '0090016200_08062023006869', '0090016200_08062023006869']
Stack 3 with items: ['0090016200_08062023006869', '0090016200_08062023006869', '0090016200_08062023006869']
Stack 4 with items: ['0090016200_08062023006869', '0090016200_08062023000459', '0090016200_08062023000459']
Stack 5 with items: ['0090016200_08062023034833', '0090016200_08062023027461']
Stack 6 with items: ['0090016200_08062023034596', '0090016200_08062023034596']
Stack 7 with items: ['0090016200_08062023034596', '0090016200_08062023034596']
Stack 8 with items: ['0090016200_08062023034596', '0090016200_08062023034596']
Stack 9 with items: ['0090016200_08062023034024', '0090016200_08062023031621']
Stack 10 with items: ['0090016200_08062023032978', '0090016200_08062023013581', '0090016200_08062023015907', '0090016200_08062023004721']
Stack 11 with items: ['0090016200_08062023031621', '0090016200_08062023029281']
Stack 12 with items: ['0090016200_08062023029281', '0090016200_08062023027941']
Stack 13 with items: ['0090016200_08062023027732', '0090016200_08062023027732']
Stack 14 with items: ['0090016200_08062023027574', '0090016200_08062023024656']
Stack 15 with items: ['0090016200_08062023022894', '0090016200_08062023021839']
Stack 16 with items: ['0090016200_08062023021839', '0090016200_08062023021162']
Stack 17 with items: ['0090016200_08062023021162', '0090016200_08062023015684']
Stack 18 with items: ['0090016200_08062023020906', '0090016200_08062023020906']
Stack 19 with items: ['0090016200_08062023020906', '0090016200_08062023020906']
Stack 20 with items: ['0090016200_08062023019024', '0090016200_08062023017629']
Stack 21 with items: ['0090016200_08062023017254', '0090016200_08062023017254']
Stack 22 with items: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 23 with items: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 24 with items: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 25 with items: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 26 with items: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 27 with items: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 28 with items: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 29 with items: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 30 with items: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 31 with items: ['0090016200_08062023015684', '0090016200_08062023015367']
Stack 32 with items: ['0090016200_08062023015367', '0090016200_08062023011002']
Stack 33 with items: ['0090016200_08062023014059', '0090016200_08062023013760']
Stack 34 with items: ['0090016200_08062023013760', '0090016200_08062023013413']
Stack 35 with items: ['0090016200_08062023013413', '0090016200_08062023013368']
Stack 36 with items: ['0090016200_08062023013368', '0090016200_08062023013368']
Stack 37 with items: ['0090016200_08062023013368', '0090016200_08062023010332']
Stack 38 with items: ['0090016200_08062023010332', '0090016200_08062023010332']
Stack 39 with items: ['0090016200_08062023010332', '0090016200_08062023008263']
Stack 40 with items: ['0090016200_08062023008263', '0090016200_08062023003630']
Stack 41 with items: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 42 with items: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 43 with items: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 44 with items: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 45 with items: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 46 with items: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 47 with items: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 48 with items: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 49 with items: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 50 with items: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 51 with items: ['0090016200_08062023025274', '0090016200_08062023021331', '0090016200_08062023005942']
Stacks not packed:
Stack 5 missing: ['0090016200_08062023034833', '0090016200_08062023027461']
Stack 10 missing: ['0090016200_08062023032978', '0090016200_08062023013581', '0090016200_08062023015907', '0090016200_08062023004721']
Stack 15 missing: ['0090016200_08062023022894', '0090016200_08062023021839']
Stack 16 missing: ['0090016200_08062023021839', '0090016200_08062023021162']
Stack 17 missing: ['0090016200_08062023021162', '0090016200_08062023015684']
Stack 23 missing: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 24 missing: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 25 missing: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 26 missing: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 27 missing: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 28 missing: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 29 missing: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 30 missing: ['0090016200_08062023015684', '0090016200_08062023015684']
Stack 31 missing: ['0090016200_08062023015684', '0090016200_08062023015367']
Stack 32 missing: ['0090016200_08062023015367', '0090016200_08062023011002']
Stack 41 missing: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 42 missing: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 43 missing: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 44 missing: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 45 missing: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 46 missing: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 47 missing: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 48 missing: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 49 missing: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 50 missing: ['0090016200_08062023005656', '0090016200_08062023005656']
Stack 51 missing: ['0090016200_08062023025274', '0090016200_08062023021331', '0090016200_08062023005942']
