dataset: C
instance: BY
+-----------+
2D Packing Heuristic in Truck P103335001
Min2DVol: 27.54000000000001 [m2]
Stack 0 with items: ['0090016900_27022023028128', '0090016900_27022023028128', '0090016900_27022023041957']
Stack 1 with items: ['0090016900_27022023041957', '0090016900_27022023041957', '0090016900_27022023041957']
Stack 2 with items: ['0090016900_27022023028128', '0090016900_27022023028128', '0090016900_27022023028128']
Stack 3 with items: ['0090016900_27022023028128', '0090016900_27022023028128', '0090016900_27022023028128']
Stack 4 with items: ['0090016900_27022023041957', '0090016900_27022023041957', '0090016900_27022023041957']
Stack 5 with items: ['0090016900_27022023041957', '0090016900_27022023041957', '0090016900_27022023041957']
Stack 6 with items: ['0090016900_27022023028128', '0090016900_27022023041957', '0090016900_27022023041957']
Stack 7 with items: ['0090016900_27022023028128', '0090016900_27022023028128', '0090016900_27022023028128']
Stack 8 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 9 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 10 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 11 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 12 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 13 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 14 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 15 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 16 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 17 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 18 with items: ['0090016900_27022023044644', '0090016900_27022023044644']
Stack 19 with items: ['0090016900_27022023044644', '0090016900_27022023031188']
Heuristic packed all stacks
