dataset: X
instance: SA7
+-----------+
2D Packing Heuristic in Truck P179157405
Min2DVol: 27.69029999999999 [m2]
Stack 0 with items: ['0090017100_14062023026823', '0090017100_14062023022238', '0090017100_14062023022238']
Stack 1 with items: ['0090017100_14062023027844']
Stack 2 with items: ['0090017100_14062023009654']
Stack 3 with items: ['0090017100_14062023001505']
Stack 4 with items: ['0090017100_14062023026823']
Stack 5 with items: ['0090017100_14062023026863', '0090017100_14062023026863', '0090017100_14062023026863', '0090017100_14062023026863']
Stack 6 with items: ['0090017100_14062023026863', '0090017100_14062023026863', '0090017100_14062023026863', '0090017100_14062023026863']
Stack 7 with items: ['0090017100_14062023026863', '0090017100_14062023026863', '0090017100_14062023026863', '0090017100_14062023026863']
Stack 8 with items: ['0090017100_14062023026863', '0090017100_14062023026863', '0090017100_14062023026863', '0090017100_14062023026863']
Stack 9 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 10 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 11 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 12 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 13 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 14 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 15 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 16 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 17 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 18 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 19 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 20 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 21 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Stack 22 with items: ['0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224', '0090017100_14062023006224']
Heuristic packed all stacks
