dataset: A
instance: PA
+-----------+
2D Packing Heuristic in Truck P249631403
Min2DVol: 26.39999999999999 [m2]
Stack 0 with items: ['0091017200_03072022007614', '0091017200_03072022007614', '0091017200_03072022007614']
Stack 1 with items: ['0091017200_03072022007614', '0091017200_03072022007614', '0091017200_03072022007614']
Stack 2 with items: ['0091017200_03072022007614', '0091017200_03072022007614', '0091017200_03072022007614']
Stack 3 with items: ['0091017200_03072022007614', '0091017200_03072022007614', '0091017200_03072022007614']
Stack 4 with items: ['0091017200_03072022007614', '0091017200_03072022007614', '0091017200_03072022007614']
Stack 5 with items: ['0091017200_03072022007614', '0091017200_03072022007614', '0091017200_03072022007614']
Stack 6 with items: ['0091017200_03072022007614', '0091017200_03072022007614', '0091017200_03072022007614']
Stack 7 with items: ['0091017200_03072022007614', '0091017200_03072022007614', '0091017200_03072022007614']
Stack 8 with items: ['0091017200_03072022007614', '0091017200_03072022007614', '0091017200_03072022007614']
Stack 9 with items: ['0091017200_03072022007439', '0091017200_03072022007439', '0091017200_03072022007439']
Stack 10 with items: ['0091017200_03072022007439', '0091017200_03072022007439', '0091017200_03072022007439']
Stack 11 with items: ['0091017200_03072022007439', '0091017200_03072022007439', '0091017200_03072022007439']
Stack 12 with items: ['0091017200_03072022007439', '0091017200_03072022007439', '0091017200_03072022007439']
Stack 13 with items: ['0091017200_03072022007439', '0091017200_03072022007439', '0091017200_03072022007439']
Stack 14 with items: ['0091017200_03072022007439', '0091017200_03072022007439', '0091017200_03072022007439']
Stack 15 with items: ['0091017200_03072022007439', '0091017200_03072022007439', '0091017200_03072022007439']
Stack 16 with items: ['0091017200_03072022007439', '0091017200_03072022007439', '0091017200_03072022007439']
Stack 17 with items: ['0091017200_03072022007439', '0091017200_03072022007439', '0091017200_03072022007439']
Stack 18 with items: ['0091017200_03072022007439', '0091017200_03072022004845', '0091017200_03072022004845']
Stack 19 with items: ['0091017200_03072022004845', '0091017200_03072022004845', '0091017200_03072022004845']
Stack 20 with items: ['0091017200_03072022004845', '0091017200_03072022004845', '0091017200_03072022004845']
Stack 21 with items: ['0091017200_03072022004845', '0091017200_03072022004845', '0091017200_03072022004845']
Heuristic packed all stacks
