dataset: X
instance: AS2
+-----------+
2D Packing Heuristic in Truck P187730401
Min2DVol: 33.84 [m2]
Stack 0 with items: ['0090018000_08062023013214', '0090018000_08062023008554', '0090018000_08062023009411', '0090018000_08062023003225']
Stack 1 with items: ['0090018000_08062023000347', '0090018000_08062023010350']
Stack 2 with items: ['0090018000_08062023007235', '0090018000_08062023007235', '0090018000_08062023007235']
Stack 3 with items: ['0090018000_08062023007235', '0090018000_08062023007235', '0090018000_08062023007235']
Stack 4 with items: ['0090018000_08062023007235', '0090018000_08062023007235', '0090018000_08062023007235']
Stack 5 with items: ['0090018000_08062023007235', '0090018000_08062023007235', '0090018000_08062023007235']
Stack 6 with items: ['0090018000_08062023007208', '0090018000_08062023007208', '0090018000_08062023007208']
Stack 7 with items: ['0090018000_08062023007208', '0090018000_08062023007208', '0090018000_08062023007208']
Stack 8 with items: ['0090018000_08062023007208', '0090018000_08062023006028', '0090018000_08062023006028']
Stack 9 with items: ['0090018000_08062023006028', '0090018000_08062023006028', '0090018000_08062023006028']
Stack 10 with items: ['0090018000_08062023006028', '0090018000_08062023006028', '0090018000_08062023006028']
Stack 11 with items: ['0090018000_08062023006028', '0090018000_08062023006028', '0090018000_08062023006028']
Stack 12 with items: ['0090018000_08062023006028', '0090018000_08062023000401', '0090018000_08062023006028']
Stack 13 with items: ['0090018000_08062023000401', '0090018000_08062023000401', '0090018000_08062023000401']
Stack 14 with items: ['0090018000_08062023009754', '0090018000_08062023002148', '0090018000_08062023002148']
Stack 15 with items: ['0090018000_08062023006354', '0090018000_08062023006354', '0090018000_08062023006354']
Stack 16 with items: ['0090018000_08062023004771', '0090018000_08062023002644', '0090018000_08062023002644']
Stack 17 with items: ['0090018000_08062023009754', '0090018000_08062023009754', '0090018000_08062023009754']
Stack 18 with items: ['0090018000_08062023004771', '0090018000_08062023004771', '0090018000_08062023004771']
Stack 19 with items: ['0090018000_08062023002644', '0090018000_08062023002644', '0090018000_08062023002644']
Stack 20 with items: ['0090018000_08062023004771', '0090018000_08062023004771', '0090018000_08062023004771']
Heuristic packed all stacks
