dataset: X
instance: BY5
+-----------+
2D Packing Heuristic in Truck P198161407
Min2DVol: 31.90200000000001 [m2]
Stack 0 with items: ['0090016900_14062023008011', '0090016900_14062023027874', '0090016900_14062023042566']
Stack 1 with items: ['0090016900_14062023043743', '0090016900_14062023043743', '0090016900_14062023043743', '0090016900_14062023043743']
Stack 2 with items: ['0090016900_14062023043743', '0090016900_14062023043743', '0090016900_14062023043743', '0090016900_14062023043743']
Stack 3 with items: ['0090016900_14062023043743', '0090016900_14062023042964', '0090016900_14062023043743', '0090016900_14062023043743']
Stack 4 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 5 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 6 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 7 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 8 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 9 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 10 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 11 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 12 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 13 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 14 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 15 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 16 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 17 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 18 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 19 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Stack 20 with items: ['0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964', '0090016900_14062023042964']
Heuristic packed all stacks
