dataset: X
instance: MA
+-----------+
2D Packing Heuristic in Truck P202031511
Min2DVol: 32.26477800000003 [m2]
Stack 0 with items: ['0090016200_08062023029447', '0090016200_08062023029447']
Stack 1 with items: ['0090016200_08062023029447', '0090016200_08062023029447']
Stack 2 with items: ['0090016200_08062023034459', '0090016200_08062023031496', '0090016200_08062023031496']
Stack 3 with items: ['0090016200_08062023031496', '0090016200_08062023031496', '0090016200_08062023031496']
Stack 4 with items: ['0090016200_08062023031496', '0090016200_08062023029555', '0090016200_08062023029555']
Stack 5 with items: ['0090016200_08062023029555', '0090016200_08062023029555', '0090016200_08062023029555']
Stack 6 with items: ['0090016200_08062023029555', '0090016200_08062023029555', '0090016200_08062023029555']
Stack 7 with items: ['0090016200_08062023029555', '0090016200_08062023028885', '0090016200_08062023028885']
Stack 8 with items: ['0090016200_08062023028885', '0090016200_08062023027878', '0090016200_08062023026833']
Stack 9 with items: ['0090016200_08062023026833', '0090016200_08062023025658', '0090016200_08062023026833']
Stack 10 with items: ['0090016200_08062023025414', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 11 with items: ['0090016200_08062023023883', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 12 with items: ['0090016200_08062023023883', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 13 with items: ['0090016200_08062023023883', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 14 with items: ['0090016200_08062023023883', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 15 with items: ['0090016200_08062023023883', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 16 with items: ['0090016200_08062023023883', '0090016200_08062023019546', '0090016200_08062023023883']
Stack 17 with items: ['0090016200_08062023019546', '0090016200_08062023019546', '0090016200_08062023019546']
Stack 18 with items: ['0090016200_08062023019546', '0090016200_08062023019546', '0090016200_08062023019546']
Stack 19 with items: ['0090016200_08062023019546', '0090016200_08062023019546', '0090016200_08062023019546']
Stack 20 with items: ['0090016200_08062023017868', '0090016200_08062023011841', '0090016200_08062023011841']
Stack 21 with items: ['0090016200_08062023011841', '0090016200_08062023011841', '0090016200_08062023011841']
Stack 22 with items: ['0090016200_08062023010577', '0090016200_08062023010510', '0090016200_08062023009823']
Stack 23 with items: ['0090016200_08062023006762', '0090016200_08062023006762', '0090016200_08062023006762']
Stack 24 with items: ['0090016200_08062023006762', '0090016200_08062023003122', '0090016200_08062023006762']
Stack 25 with items: ['0090016200_08062023003122', '0090016200_08062023002167', '0090016200_08062023002167']
Stack 26 with items: ['0090016200_08062023031098', '0090016200_08062023028133', '0090016200_08062023025511']
Stack 27 with items: ['0090016200_08062023025107', '0090016200_08062023019951', '0090016200_08062023014736']
Stack 28 with items: ['0090016200_08062023014736', '0090016200_08062023014736', '0090016200_08062023014736']
Stack 29 with items: ['0090016200_08062023014736', '0090016200_08062023014736', '0090016200_08062023014736']
Stack 30 with items: ['0090016200_08062023014736', '0090016200_08062023014736', '0090016200_08062023014736']
Stack 31 with items: ['0090016200_08062023009518', '0090016200_08062023009518', '0090016200_08062023009518']
Stack 32 with items: ['0090016200_08062023009518', '0090016200_08062023009518', '0090016200_08062023009518']
Stack 33 with items: ['0090016200_08062023009518', '0090016200_08062023007655', '0090016200_08062023009518']
Stack 34 with items: ['0090016200_08062023007655', '0090016200_08062023007655', '0090016200_08062023007655']
Stack 35 with items: ['0090016200_08062023007655', '0090016200_08062023007655', '0090016200_08062023007655']
Stack 36 with items: ['0090016200_08062023007655', '0090016200_08062023007655', '0090016200_08062023007655']
Stack 37 with items: ['0090016200_08062023007402', '0090016200_08062023003536', '0090016200_08062023002848']
Stacks not packed:
Stack 5 missing: ['0090016200_08062023029555', '0090016200_08062023029555', '0090016200_08062023029555']
Stack 6 missing: ['0090016200_08062023029555', '0090016200_08062023029555', '0090016200_08062023029555']
Stack 7 missing: ['0090016200_08062023029555', '0090016200_08062023028885', '0090016200_08062023028885']
Stack 8 missing: ['0090016200_08062023028885', '0090016200_08062023027878', '0090016200_08062023026833']
Stack 9 missing: ['0090016200_08062023026833', '0090016200_08062023025658', '0090016200_08062023026833']
Stack 10 missing: ['0090016200_08062023025414', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 11 missing: ['0090016200_08062023023883', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 12 missing: ['0090016200_08062023023883', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 13 missing: ['0090016200_08062023023883', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 14 missing: ['0090016200_08062023023883', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 15 missing: ['0090016200_08062023023883', '0090016200_08062023023883', '0090016200_08062023023883']
Stack 16 missing: ['0090016200_08062023023883', '0090016200_08062023019546', '0090016200_08062023023883']
Stack 17 missing: ['0090016200_08062023019546', '0090016200_08062023019546', '0090016200_08062023019546']
Stack 18 missing: ['0090016200_08062023019546', '0090016200_08062023019546', '0090016200_08062023019546']
Stack 19 missing: ['0090016200_08062023019546', '0090016200_08062023019546', '0090016200_08062023019546']
Stack 24 missing: ['0090016200_08062023006762', '0090016200_08062023003122', '0090016200_08062023006762']
Stack 25 missing: ['0090016200_08062023003122', '0090016200_08062023002167', '0090016200_08062023002167']
