dataset: X
instance: CI4
+-----------+
2D Packing Heuristic in Truck P189414151
Min2DVol: 27.11999999999999 [m2]
Stack 0 with items: ['0090016800_14062023033070', '0090016800_14062023020648']
Stack 1 with items: ['0090016800_14062023023249', '0090016800_14062023021561']
Stack 2 with items: ['0090016800_14062023014439', '0090016800_14062023014439']
Stack 3 with items: ['0090016800_14062023014439', '0090016800_14062023004120']
Stack 4 with items: ['0090016800_14062023001606']
Stack 5 with items: ['0090016800_14062023015066', '0090016800_14062023001619']
Stack 6 with items: ['0090016800_14062023015066', '0090016800_14062023015066']
Stack 7 with items: ['0090016800_14062023001619', '0090016800_14062023001619']
Stack 8 with items: ['0090016800_14062023001619', '0090016800_14062023015066']
Stack 9 with items: ['0090016800_14062023001619', '0090016800_14062023041186']
Stack 10 with items: ['0090016800_14062023001619', '0090016800_14062023001619']
Stack 11 with items: ['0090016800_14062023001619', '0090016800_14062023001619']
Stack 12 with items: ['0090016800_14062023015066', '0090016800_14062023015066']
Stack 13 with items: ['0090016800_14062023015066', '0090016800_14062023015066']
Stack 14 with items: ['0090016800_14062023001619', '0090016800_14062023041186']
Stack 15 with items: ['0090016800_14062023015066', '0090016800_14062023015066']
Stack 16 with items: ['0090016800_14062023041186', '0090016800_14062023041186']
Stack 17 with items: ['0090016800_14062023001619', '0090016800_14062023001619']
Stack 18 with items: ['0090016800_14062023015066', '0090016800_14062023001619']
Stack 19 with items: ['0090016800_14062023015066', '0090016800_14062023041186']
Stack 20 with items: ['0090016800_14062023041186', '0090016800_14062023037889']
Stack 21 with items: ['0090016800_14062023020162', '0090016800_14062023038517']
Heuristic packed all stacks
