dataset: X
instance: CI3
+-----------+
2D Packing Heuristic in Truck P178400105
Min2DVol: 30.43776899999999 [m2]
Stack 0 with items: ['0090016800_08062023050426', '0090016800_08062023022856', '0090016800_08062023027144', '0090016800_08062023014426']
Stack 1 with items: ['0090016800_08062023013421', '0090016800_08062023028417']
Stack 2 with items: ['0090016800_08062023050250', '0090016800_08062023050250', '0090016800_08062023050250']
Stack 3 with items: ['0090016800_08062023050250', '0090016800_08062023050250', '0090016800_08062023050250']
Stack 4 with items: ['0090016800_08062023050250', '0090016800_08062023050250', '0090016800_08062023050250']
Stack 5 with items: ['0090016800_08062023050250', '0090016800_08062023050250', '0090016800_08062023050250']
Stack 6 with items: ['0090016800_08062023050250', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 7 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 8 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 9 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 10 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 11 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 12 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 13 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 14 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 15 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 16 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 17 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 18 with items: ['0090016800_08062023045028', '0090016800_08062023045028', '0090016800_08062023045028']
Stack 19 with items: ['0090016800_08062023035887', '0090016800_08062023026392', '0090016800_08062023026392']
Stack 20 with items: ['0090016800_08062023026392', '0090016800_08062023017955', '0090016800_08062023017955']
Stack 21 with items: ['0090016800_08062023017955', '0090016800_08062023017955', '0090016800_08062023017955']
Stack 22 with items: ['0090016800_08062023017955', '0090016800_08062023017955', '0090016800_08062023017955']
Stack 23 with items: ['0090016800_08062023017955', '0090016800_08062023017955', '0090016800_08062023017955']
Stack 24 with items: ['0090016800_08062023017955', '0090016800_08062023017955', '0090016800_08062023017955']
Heuristic packed all stacks
