dataset: X
instance: BY
+-----------+
2D Packing Heuristic in Truck P198064503
Min2DVol: 26.738399999999995 [m2]
Stack 0 with items: ['0090016900_08062023008208', '0090016900_08062023008208', '0090016900_08062023008208']
Stack 1 with items: ['0090016900_08062023008208', '0090016900_08062023008208', '0090016900_08062023008208']
Stack 2 with items: ['0090016900_08062023006116', '0090016900_08062023006116', '0090016900_08062023006116']
Stack 3 with items: ['0090016900_08062023011573', '0090016900_08062023011573', '0090016900_08062023011573']
Stack 4 with items: ['0090016900_08062023037946', '0090016900_08062023037946']
Stack 5 with items: ['0090016900_08062023037946', '0090016900_08062023037946']
Stack 6 with items: ['0090016900_08062023037946', '0090016900_08062023037946']
Stack 7 with items: ['0090016900_08062023037946', '0090016900_08062023037946']
Stack 8 with items: ['0090016900_08062023037946', '0090016900_08062023037946']
Stack 9 with items: ['0090016900_08062023037946', '0090016900_08062023037946']
Stack 10 with items: ['0090016900_08062023037946', '0090016900_08062023037946']
Stack 11 with items: ['0090016900_08062023037946', '0090016900_08062023037946']
Stack 12 with items: ['0090016900_08062023037946', '0090016900_08062023037946']
Stack 13 with items: ['0090016900_08062023037946', '0090016900_08062023037946']
Stack 14 with items: ['0090016900_08062023020355', '0090016900_08062023020355']
Stack 15 with items: ['0090016900_08062023020355', '0090016900_08062023020355']
Stack 16 with items: ['0090016900_08062023020355', '0090016900_08062023020355']
Stack 17 with items: ['0090016900_08062023020355', '0090016900_08062023020355']
Stack 18 with items: ['0090016900_08062023020355', '0090016900_08062023020355']
Stack 19 with items: ['0090016900_08062023020355', '0090016900_08062023020355']
Heuristic packed all stacks
