dataset: X
instance: RM
+-----------+
2D Packing Heuristic in Truck P185396603
Min2DVol: 31.218059999999987 [m2]
Stack 0 with items: ['0090038200_08062023000417', '0090038200_08062023005915', '0090038200_08062023022007']
Stack 1 with items: ['0090038200_08062023001646', '0090038200_08062023004107']
Stack 2 with items: ['0090038200_08062023017096', '0090038200_08062023016662']
Stack 3 with items: ['0090038200_08062023004492', '0090038200_08062023004492']
Stack 4 with items: ['0090038200_08062023019638', '0090038200_08062023027406']
Stack 5 with items: ['0090038200_08062023004107', '0090038200_08062023027406']
Stack 6 with items: ['0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150']
Stack 7 with items: ['0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150']
Stack 8 with items: ['0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150']
Stack 9 with items: ['0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150']
Stack 10 with items: ['0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150']
Stack 11 with items: ['0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150']
Stack 12 with items: ['0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150', '0090038200_08062023024150']
Stack 13 with items: ['0090038200_08062023024150', '0090038200_08062023013599', '0090038200_08062023013599', '0090038200_08062023013599']
Stack 14 with items: ['0090038200_08062023013599', '0090038200_08062023013599', '0090038200_08062023013599', '0090038200_08062023013599']
Stack 15 with items: ['0090038200_08062023013599', '0090038200_08062023010195', '0090038200_08062023013599', '0090038200_08062023013599']
Stack 16 with items: ['0090038200_08062023010195', '0090038200_08062023010195', '0090038200_08062023010195', '0090038200_08062023010195']
Stack 17 with items: ['0090038200_08062023010195', '0090038200_08062023010195', '0090038200_08062023010195', '0090038200_08062023010195']
Stack 18 with items: ['0090038200_08062023010195', '0090038200_08062023010195', '0090038200_08062023010195', '0090038200_08062023010195']
Stack 19 with items: ['0090038200_08062023010195', '0090038200_08062023010195', '0090038200_08062023010195', '0090038200_08062023010195']
Stack 20 with items: ['0090038200_08062023010195', '0090038200_08062023008246', '0090038200_08062023008246', '0090038200_08062023003461']
Stack 21 with items: ['0090038200_08062023003461', '0090038200_08062023003461', '0090038200_08062023003461', '0090038200_08062023003461']
Stack 22 with items: ['0090038200_08062023003461', '0090038200_08062023003461', '0090038200_08062023003461', '0090038200_08062023003461']
Stack 23 with items: ['0090038200_08062023003461', '0090038200_08062023003461', '0090038200_08062023003461', '0090038200_08062023003461']
Stack 24 with items: ['0090038200_08062023003461', '0090038200_08062023003461', '0090038200_08062023003461', '0090038200_08062023003461']
Stack 25 with items: ['0090038200_08062023003461', '0090038200_08062023003461']
Heuristic packed all stacks
