dataset: X
instance: TA
+-----------+
2D Packing Heuristic in Truck P196382409
Min2DVol: 31.20000000000003 [m2]
Stack 0 with items: ['0090038300_08062023012805', '0090038300_08062023012389', '0090038300_08062023012046']
Stack 1 with items: ['0090038300_08062023012046', '0090038300_08062023012046', '0090038300_08062023012046']
Stack 2 with items: ['0090038300_08062023012046', '0090038300_08062023012046', '0090038300_08062023012046']
Stack 3 with items: ['0090038300_08062023012046', '0090038300_08062023012046', '0090038300_08062023012046']
Stack 4 with items: ['0090038300_08062023012046', '0090038300_08062023011818', '0090038300_08062023012046']
Stack 5 with items: ['0090038300_08062023010608', '0090038300_08062023010608', '0090038300_08062023010608']
Stack 6 with items: ['0090038300_08062023010608', '0090038300_08062023010608', '0090038300_08062023010608']
Stack 7 with items: ['0090038300_08062023010147', '0090038300_08062023010147', '0090038300_08062023010147']
Stack 8 with items: ['0090038300_08062023010147', '0090038300_08062023010147', '0090038300_08062023010147']
Stack 9 with items: ['0090038300_08062023010147', '0090038300_08062023010147', '0090038300_08062023010147']
Stack 10 with items: ['0090038300_08062023010147', '0090038300_08062023010147', '0090038300_08062023010147']
Stack 11 with items: ['0090038300_08062023010147', '0090038300_08062023010147', '0090038300_08062023010147']
Stack 12 with items: ['0090038300_08062023010147', '0090038300_08062023010147', '0090038300_08062023010147']
Stack 13 with items: ['0090038300_08062023010147', '0090038300_08062023010147', '0090038300_08062023010147']
Stack 14 with items: ['0090038300_08062023010147', '0090038300_08062023009849', '0090038300_08062023009849']
Stack 15 with items: ['0090038300_08062023009849', '0090038300_08062023009279', '0090038300_08062023009849']
Stack 16 with items: ['0090038300_08062023009279', '0090038300_08062023008851', '0090038300_08062023008851']
Stack 17 with items: ['0090038300_08062023008764', '0090038300_08062023008658', '0090038300_08062023008764']
Stack 18 with items: ['0090038300_08062023008329', '0090038300_08062023008329', '0090038300_08062023008329']
Stack 19 with items: ['0090038300_08062023008329', '0090038300_08062023008282', '0090038300_08062023008329']
Stack 20 with items: ['0090038300_08062023008017', '0090038300_08062023007629', '0090038300_08062023008017']
Stack 21 with items: ['0090038300_08062023007457', '0090038300_08062023007069', '0090038300_08062023006958']
Stack 22 with items: ['0090038300_08062023006066', '0090038300_08062023005971', '0090038300_08062023005971']
Stack 23 with items: ['0090038300_08062023005869', '0090038300_08062023005764', '0090038300_08062023005470']
Stack 24 with items: ['0090038300_08062023005470', '0090038300_08062023005470', '0090038300_08062023005470']
Stack 25 with items: ['0090038300_08062023005470', '0090038300_08062023005470', '0090038300_08062023005470']
Stack 26 with items: ['0090038300_08062023005470', '0090038300_08062023005470', '0090038300_08062023005470']
Stack 27 with items: ['0090038300_08062023005470', '0090038300_08062023005470', '0090038300_08062023005470']
Stack 28 with items: ['0090038300_08062023005470', '0090038300_08062023005470', '0090038300_08062023005470']
Stack 29 with items: ['0090038300_08062023004093', '0090038300_08062023004093', '0090038300_08062023004093']
Stack 30 with items: ['0090038300_08062023004093', '0090038300_08062023004093', '0090038300_08062023004093']
Stack 31 with items: ['0090038300_08062023004074', '0090038300_08062023004008', '0090038300_08062023004008']
Stack 32 with items: ['0090038300_08062023004008', '0090038300_08062023003535', '0090038300_08062023003385']
Stack 33 with items: ['0090038300_08062023003385', '0090038300_08062023003385', '0090038300_08062023003385']
Stack 34 with items: ['0090038300_08062023003385', '0090038300_08062023003285', '0090038300_08062023003385']
Stack 35 with items: ['0090038300_08062023003223', '0090038300_08062023003223', '0090038300_08062023003223']
Stack 36 with items: ['0090038300_08062023003223', '0090038300_08062023002930', '0090038300_08062023002356']
Stack 37 with items: ['0090038300_08062023002146', '0090038300_08062023002146', '0090038300_08062023002146', '0090038300_08062023002146']
Stack 38 with items: ['0090038300_08062023002146', '0090038300_08062023002146', '0090038300_08062023002146', '0090038300_08062023002146']
Stack 39 with items: ['0090038300_08062023001724', '0090038300_08062023001724', '0090038300_08062023001724']
Stack 40 with items: ['0090038300_08062023001724', '0090038300_08062023001724', '0090038300_08062023001724']
Stack 41 with items: ['0090038300_08062023001724', '0090038300_08062023001724', '0090038300_08062023001724']
Stack 42 with items: ['0090038300_08062023001385', '0090038300_08062023001385', '0090038300_08062023001385']
