dataset: C
instance: RM3
+-----------+
2D Packing Heuristic in Truck P067394803
Min2DVol: 30.96000000000002 [m2]
Stack 0 with items: ['0090038200_28022023000035', '0090038200_28022023000035']
Stack 1 with items: ['0090038200_28022023004525', '0090038200_28022023015637']
Stack 2 with items: ['0090038200_28022023009394', '0090038200_28022023015637']
Stack 3 with items: ['0090038200_28022023015583', '0090038200_28022023015583', '0090038200_28022023015583']
Stack 4 with items: ['0090038200_28022023015583', '0090038200_28022023015583', '0090038200_28022023015583']
Stack 5 with items: ['0090038200_28022023015583', '0090038200_28022023015286', '0090038200_28022023015286']
Stack 6 with items: ['0090038200_28022023015286', '0090038200_28022023014200', '0090038200_28022023014200']
Stack 7 with items: ['0090038200_28022023014200', '0090038200_28022023013706', '0090038200_28022023014200']
Stack 8 with items: ['0090038200_28022023013706', '0090038200_28022023013145', '0090038200_28022023013145']
Stack 9 with items: ['0090038200_28022023013145', '0090038200_28022023013145', '0090038200_28022023013145']
Stack 10 with items: ['0090038200_28022023013133', '0090038200_28022023013133', '0090038200_28022023013133']
Stack 11 with items: ['0090038200_28022023011292', '0090038200_28022023010450', '0090038200_28022023010090']
Stack 12 with items: ['0090038200_28022023010090', '0090038200_28022023009147', '0090038200_28022023009147']
Stack 13 with items: ['0090038200_28022023009147', '0090038200_28022023009147', '0090038200_28022023009147']
Stack 14 with items: ['0090038200_28022023009147', '0090038200_28022023009083', '0090038200_28022023009083']
Stack 15 with items: ['0090038200_28022023009083', '0090038200_28022023009083', '0090038200_28022023009083']
Stack 16 with items: ['0090038200_28022023009083', '0090038200_28022023007992', '0090038200_28022023009083']
Stack 17 with items: ['0090038200_28022023007992', '0090038200_28022023007641', '0090038200_28022023007992']
Stack 18 with items: ['0090038200_28022023007641', '0090038200_28022023007641', '0090038200_28022023007641']
Stack 19 with items: ['0090038200_28022023006708', '0090038200_28022023006708', '0090038200_28022023006708']
Stack 20 with items: ['0090038200_28022023006708', '0090038200_28022023006490', '0090038200_28022023006708']
Stack 21 with items: ['0090038200_28022023006490', '0090038200_28022023006490', '0090038200_28022023006490']
Stack 22 with items: ['0090038200_28022023006490', '0090038200_28022023004793', '0090038200_28022023006490']
Stack 23 with items: ['0090038200_28022023004793', '0090038200_28022023004412', '0090038200_28022023004793']
Stack 24 with items: ['0090038200_28022023004412', '0090038200_28022023002697', '0090038200_28022023004412']
Stack 25 with items: ['0090038200_28022023002697', '0090038200_28022023001408', '0090038200_28022023001408']
Stack 26 with items: ['0090038200_28022023001408', '0090038200_28022023001265', '0090038200_28022023000673']
Stacks not packed:
Stack 5 missing: ['0090038200_28022023015583', '0090038200_28022023015286', '0090038200_28022023015286']
Stack 6 missing: ['0090038200_28022023015286', '0090038200_28022023014200', '0090038200_28022023014200']
Stack 7 missing: ['0090038200_28022023014200', '0090038200_28022023013706', '0090038200_28022023014200']
Stack 8 missing: ['0090038200_28022023013706', '0090038200_28022023013145', '0090038200_28022023013145']
Stack 9 missing: ['0090038200_28022023013145', '0090038200_28022023013145', '0090038200_28022023013145']
Stack 10 missing: ['0090038200_28022023013133', '0090038200_28022023013133', '0090038200_28022023013133']
Stack 11 missing: ['0090038200_28022023011292', '0090038200_28022023010450', '0090038200_28022023010090']
Stack 12 missing: ['0090038200_28022023010090', '0090038200_28022023009147', '0090038200_28022023009147']
Stack 13 missing: ['0090038200_28022023009147', '0090038200_28022023009147', '0090038200_28022023009147']
Stack 14 missing: ['0090038200_28022023009147', '0090038200_28022023009083', '0090038200_28022023009083']
Stack 17 missing: ['0090038200_28022023007992', '0090038200_28022023007641', '0090038200_28022023007992']
Stack 18 missing: ['0090038200_28022023007641', '0090038200_28022023007641', '0090038200_28022023007641']
Stack 19 missing: ['0090038200_28022023006708', '0090038200_28022023006708', '0090038200_28022023006708']
Stack 20 missing: ['0090038200_28022023006708', '0090038200_28022023006490', '0090038200_28022023006708']
Stack 23 missing: ['0090038200_28022023004793', '0090038200_28022023004412', '0090038200_28022023004793']
Stack 24 missing: ['0090038200_28022023004412', '0090038200_28022023002697', '0090038200_28022023004412']
