dataset: A
instance: BY
+-----------+
2D Packing Heuristic in Truck P262066401
Min2DVol: 32.640000000000015 [m2]
Stack 0 with items: ['0090016900_03072022014274', '0090016900_03072022014274', '0090016900_03072022014274', '0090016900_03072022014274']
Stack 1 with items: ['0090016900_03072022014274', '0090016900_03072022014274', '0090016900_03072022014274', '0090016900_03072022014274']
Stack 2 with items: ['0090016900_03072022014274', '0090016900_03072022014274', '0090016900_03072022014274', '0090016900_03072022014274']
Stack 3 with items: ['0090016900_03072022014274', '0090016900_03072022014274', '0090016900_03072022014274', '0090016900_03072022014274']
Stack 4 with items: ['0090016900_03072022014274', '0090016900_03072022014274', '0090016900_03072022014274', '0090016900_03072022014274']
Stack 5 with items: ['0090016900_03072022014274', '0090016900_03072022013518', '0090016900_03072022013518', '0090016900_03072022013518']
Stack 6 with items: ['0090016900_03072022013518', '0090016900_03072022008398', '0090016900_03072022008398', '0090016900_03072022013518']
Stack 7 with items: ['0090016900_03072022008398', '0090016900_03072022008398', '0090016900_03072022008398', '0090016900_03072022008398']
Stack 8 with items: ['0090016900_03072022008398', '0090016900_03072022007159', '0090016900_03072022008398', '0090016900_03072022008398']
Stack 9 with items: ['0090016900_03072022007159', '0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977']
Stack 10 with items: ['0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977']
Stack 11 with items: ['0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977']
Stack 12 with items: ['0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977']
Stack 13 with items: ['0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977']
Stack 14 with items: ['0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977', '0090016900_03072022005977']
Stack 15 with items: ['0090016900_03072022005977', '0090016900_03072022005023', '0090016900_03072022005023', '0090016900_03072022005023']
Stack 16 with items: ['0090016900_03072022005023', '0090016900_03072022003554', '0090016900_03072022005023', '0090016900_03072022005023']
Stacks not packed:
Stack 16 missing: ['0090016900_03072022005023', '0090016900_03072022003554', '0090016900_03072022005023', '0090016900_03072022005023']
