dataset: B
instance: DO
+-----------+
2D Packing Heuristic in Truck P327219801
Min2DVol: 31.938059999999997 [m2]
Stack 0 with items: ['0090019100_26102022005140', '0090019100_26102022005140', '0090019100_26102022005140']
Stack 1 with items: ['0090019100_26102022005140', '0090019100_26102022005140', '0090019100_26102022005140']
Stack 2 with items: ['0090019100_26102022005140', '0090019100_26102022005140', '0090019100_26102022005140']
Stack 3 with items: ['0090019100_26102022005140', '0090019100_26102022005140', '0090019100_26102022005140']
Stack 4 with items: ['0090019100_26102022005140', '0090019100_26102022002520', '0090019100_26102022005140']
Stack 5 with items: ['0090019100_26102022002520', '0090019100_26102022001342', '0090019100_26102022002520']
Stack 6 with items: ['0090019100_26102022001342', '0090019100_26102022001342', '0090019100_26102022001342']
Stack 7 with items: ['0090019100_26102022001342', '0090019100_26102022001342', '0090019100_26102022001342']
Stack 8 with items: ['0090019100_26102022001342', '0090019100_26102022001342', '0090019100_26102022001342']
Stack 9 with items: ['0090019100_26102022002632', '0090019100_26102022009699']
Stack 10 with items: ['0090019100_26102022005375', '0090019100_26102022005375', '0090019100_26102022005375']
Stack 11 with items: ['0090019100_26102022002685', '0090019100_26102022005375', '0090019100_26102022005375']
Stack 12 with items: ['0090019100_26102022002685', '0090019100_26102022005375', '0090019100_26102022005375']
Stack 13 with items: ['0090019100_26102022002685', '0090019100_26102022002685', '0090019100_26102022002685']
Stack 14 with items: ['0090019100_26102022005375', '0090019100_26102022002685', '0090019100_26102022002685']
Stack 15 with items: ['0090019100_26102022002685', '0090019100_26102022002685', '0090019100_26102022002685']
Stack 16 with items: ['0090019100_26102022008932', '0090019100_26102022008932', '0090019100_26102022008932']
Stack 17 with items: ['0090019100_26102022008932', '0090019100_26102022008932', '0090019100_26102022008932']
Stack 18 with items: ['0090019100_26102022008932', '0090019100_26102022008932', '0090019100_26102022008932']
Stack 19 with items: ['0090019100_26102022008932', '0090019100_26102022008932', '0090019100_26102022008932']
Stack 20 with items: ['0090019100_26102022008932', '0090019100_26102022008932', '0090019100_26102022008932']
Stack 21 with items: ['0090019100_26102022008932', '0090019100_26102022008932', '0090019100_26102022008932']
Stack 22 with items: ['0090019100_26102022008932', '0090019100_26102022008932', '0090019100_26102022008932']
Stacks not packed:
Stack 22 missing: ['0090019100_26102022008932', '0090019100_26102022008932', '0090019100_26102022008932']
