dataset: C
instance: MT3
+-----------+
2D Packing Heuristic in Truck P086316701
Min2DVol: 23.669999999999987 [m2]
Stack 0 with items: ['0091017700_28022023003435', '0091017700_28022023003435', '0091017700_28022023003435']
Stack 1 with items: ['0091017700_28022023003435', '0091017700_28022023003435', '0091017700_28022023003435']
Stack 2 with items: ['0091017700_28022023003435', '0091017700_28022023003435', '0091017700_28022023003435']
Stack 3 with items: ['0091017700_28022023003435', '0091017700_28022023003435', '0091017700_28022023003435']
Stack 4 with items: ['0091017700_28022023003435', '0091017700_28022023003435', '0091017700_28022023003435']
Stack 5 with items: ['0091017700_28022023003435', '0091017700_28022023003435', '0091017700_28022023003435']
Stack 6 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023003435']
Stack 7 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 8 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 9 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 10 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 11 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 12 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 13 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 14 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 15 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 16 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 17 with items: ['0091017700_28022023000539', '0091017700_28022023000539', '0091017700_28022023000539']
Stack 18 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 19 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 20 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 21 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 22 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 23 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 24 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 25 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 26 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 27 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 28 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 29 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 30 with items: ['0091017700_28022023001288', '0091017700_28022023001288']
Stacks not packed:
Stack 22 missing: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 23 missing: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 24 missing: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 25 missing: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 26 missing: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 27 missing: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 28 missing: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 29 missing: ['0091017700_28022023001288', '0091017700_28022023001288']
Stack 30 missing: ['0091017700_28022023001288', '0091017700_28022023001288']
