dataset: X
instance: BY5
+-----------+
2D Packing Heuristic in Truck P192161407
Min2DVol: 30.462000000000007 [m2]
Stack 0 with items: ['0090016900_14062023023594', '0090016900_14062023023594', '0090016900_14062023023594', '0090016900_14062023023594']
Stack 1 with items: ['0090016900_14062023023594', '0090016900_14062023023594', '0090016900_14062023023594', '0090016900_14062023023594']
Stack 2 with items: ['0090016900_14062023023594', '0090016900_14062023023594', '0090016900_14062023023594', '0090016900_14062023023594']
Stack 3 with items: ['0090016900_14062023023594', '0090016900_14062023023594', '0090016900_14062023023594', '0090016900_14062023023594']
Stack 4 with items: ['0090016900_14062023023594', '0090016900_14062023023594', '0090016900_14062023023594', '0090016900_14062023023594']
Stack 5 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 6 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 7 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 8 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 9 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 10 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 11 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 12 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 13 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 14 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 15 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 16 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 17 with items: ['0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300', '0090016900_14062023017300']
Stack 18 with items: ['0090016900_14062023011917', '0090016900_14062023011917', '0090016900_14062023011917', '0090016900_14062023011917']
Stack 19 with items: ['0090016900_14062023013482', '0090016900_14062023013482', '0090016900_14062023013482']
Heuristic packed all stacks
